machine_id,cycle,temperature,vibration,pressure,rpm,failure_within_20
M100,128,59.69,2.764,95.15,1485,0
M100,129,56.03,1.877,97.36,1505,0
M100,130,62.78,2.731,101.0,1481,0
M100,131,62.26,2.877,99.34,1492,0
M100,132,56.5,2.822,101.24,1465,0
M100,133,54.73,2.115,98.31,1521,0
M100,134,62.61,3.041,99.6,1474,0
M100,135,60.77,2.83,98.21,1513,0
M100,136,66.24,2.498,97.36,1532,0
M100,137,63.33,2.328,100.51,1450,0
M100,138,55.05,2.721,102.28,1459,0
M100,139,58.65,1.83,97.59,1489,0
M100,140,58.43,2.344,97.71,1485,0
M100,141,61.31,2.752,103.96,1497,0
M100,142,59.23,3.041,101.52,1468,0
M100,143,52.0,3.043,96.11,1521,0
M100,144,64.29,2.546,102.66,1480,0
M100,145,56.9,3.091,99.95,1480,0
M100,146,60.13,1.49,98.39,1483,0
M100,147,54.94,2.293,101.64,1507,0
M100,148,65.33,2.248,103.86,1527,0
M100,149,59.27,1.867,100.45,1508,0
M100,150,60.64,2.868,99.67,1546,0
M100,151,55.72,3.298,99.91,1486,0
M100,152,60.57,2.556,92.93,1471,0
M100,153,62.24,3.307,98.71,1515,0
M100,154,66.97,2.206,101.35,1484,0
M100,155,66.47,1.828,94.4,1508,0
M100,156,67.67,2.357,99.14,1503,0
M100,157,64.51,3.043,98.16,1471,0
M100,158,65.94,3.439,99.59,1454,0
M100,159,58.35,2.607,98.51,1460,0
M100,160,60.29,3.317,98.94,1527,0
M100,161,58.61,2.07,101.45,1503,0
M100,162,57.2,2.825,99.56,1515,0
M100,163,63.71,3.148,95.51,1474,0
M100,164,67.12,2.851,97.37,1480,0
M100,165,60.53,2.569,101.39,1521,0
M100,166,69.22,2.439,96.92,1524,0
M100,167,63.71,2.944,98.07,1479,0
M100,168,57.62,3.169,98.04,1469,0
M100,169,63.5,3.519,97.19,1483,0
M100,170,59.27,1.889,97.97,1495,0
M100,171,59.76,2.729,93.39,1476,0
M100,172,62.47,2.836,102.24,1492,0
M100,173,66.57,3.384,97.55,1498,0
M100,174,61.47,4.036,94.8,1471,0
M100,175,61.16,2.954,97.15,1473,0
M100,176,66.8,2.297,95.08,1478,0
M100,177,64.36,2.24,96.41,1496,0
M100,178,69.15,3.181,94.4,1504,0
M100,179,66.94,2.933,96.07,1479,0
M100,180,64.86,2.965,94.81,1455,0
M100,181,65.55,3.21,95.08,1475,0
M100,182,69.05,3.646,94.27,1488,0
M100,183,67.45,3.499,96.91,1455,0
M100,184,66.31,3.665,95.54,1460,0
M100,185,59.15,4.426,93.1,1486,0
M100,186,69.25,3.272,98.04,1494,0
M100,187,67.55,3.235,94.88,1460,0
M100,188,62.77,3.408,94.61,1477,1
M100,189,62.77,3.929,95.43,1485,1
M100,190,69.69,2.92,98.49,1449,1
M100,191,66.35,3.244,95.5,1497,1
M100,192,65.33,3.518,97.21,1483,1
M100,193,77.25,3.276,94.91,1489,1
M100,194,69.51,3.889,95.53,1444,1
M100,195,68.37,3.355,95.03,1462,1
M100,196,67.53,4.591,94.96,1458,1
M100,197,69.6,3.697,94.75,1463,1
M100,198,65.72,2.621,91.98,1489,1
M100,199,74.16,3.87,94.26,1497,1
M100,200,67.2,4.297,93.86,1494,1
M100,201,65.92,3.921,94.53,1445,1
M100,202,79.71,3.848,93.49,1470,1
M100,203,71.21,4.473,93.08,1478,1
M100,204,66.8,4.886,92.63,1487,1
M100,205,64.39,3.846,95.65,1462,1
M100,206,66.73,4.003,97.88,1506,1
M100,207,74.93,4.272,92.12,1468,1
M100,208,,3.457,93.86,1501,1
M101,1,41.23,2.139,101.31,1482,0
M101,2,33.95,1.746,100.78,1480,0
M101,3,32.48,1.357,99.87,1508,0
M101,4,31.01,1.223,100.42,1495,0
M101,5,36.91,2.204,104.71,1548,0
M101,6,43.07,1.67,99.88,1480,0
M101,7,35.6,3.008,102.27,1506,0
M101,8,35.6,2.163,102.27,1494,0
M101,9,37.11,1.153,101.82,1537,0
M101,10,38.12,1.705,103.52,1494,0
M101,11,30.17,2.539,102.67,1502,0
M101,12,34.06,1.328,104.3,1484,0
M101,13,39.24,3.576,98.2,1472,0
M101,14,39.27,2.256,103.66,1476,0
M101,15,41.75,2.699,98.99,1488,0
M101,16,38.52,1.716,99.79,1489,0
M101,17,39.42,2.63,101.44,1494,0
M101,18,45.16,1.831,100.0,1496,0
M101,19,31.66,2.084,99.1,1503,0
M101,20,42.97,1.272,101.65,1539,0
M101,21,33.77,1.515,99.8,1480,0
M101,22,37.49,2.854,100.8,1510,0
M101,23,43.96,2.032,104.77,1496,0
M101,24,40.35,2.088,102.12,1496,0
M101,25,36.9,2.409,109.84,1513,0
M101,26,35.86,1.902,104.36,1538,0
M101,27,34.26,2.224,99.32,1498,0
M101,28,35.63,1.821,102.25,1506,0
M101,29,36.46,2.114,98.02,1533,0
M101,30,38.98,2.248,101.32,1530,0
M101,31,35.14,2.747,100.46,1499,0
M101,32,35.96,1.461,102.67,1482,0
M101,33,38.5,2.38,100.0,1494,0
M101,34,39.35,2.144,100.16,1461,0
M101,35,37.74,2.811,102.96,1483,0
M101,36,37.72,1.527,105.08,1514,0
M101,37,40.87,1.293,102.73,1505,0
M101,38,38.11,1.54,100.89,1506,0
M101,39,36.42,2.118,98.22,1502,0
M101,40,33.53,1.986,102.65,1480,0
M101,41,30.13,1.878,100.13,1523,0
M101,42,38.82,1.638,99.63,1480,0
M101,43,37.53,2.408,98.49,1486,0
M101,44,34.57,2.036,103.71,1513,0
M101,45,39.91,1.924,99.25,1477,0
M101,46,28.83,1.215,103.06,1496,0
M101,47,35.73,1.588,101.06,1462,0
M101,48,32.42,2.166,99.72,1491,0
M101,49,30.65,2.024,101.06,1466,0
M101,50,34.0,3.228,100.85,1504,0
M101,51,36.77,1.555,102.34,1482,0
M101,52,39.87,2.795,103.16,1504,0
M101,53,34.83,1.768,98.94,1509,0
M101,54,41.44,2.518,97.99,1499,0
M101,55,39.12,1.573,100.58,1486,0
M101,56,32.47,0.882,99.13,1531,0
M101,57,44.14,2.503,101.0,1522,0
M101,58,34.92,2.478,102.09,1518,0
M101,59,40.29,3.483,99.16,1468,0
M101,60,41.71,1.733,106.02,1481,0
M101,61,35.18,1.774,101.02,1503,0
M101,62,36.07,1.748,100.95,1492,0
M101,63,37.6,2.552,100.37,1500,0
M101,64,35.88,1.936,101.69,1515,0
M101,65,29.51,2.636,99.06,1481,0
M101,66,37.6,1.185,99.52,1487,0
M101,67,38.98,1.783,103.21,1486,0
M101,68,35.82,1.805,101.63,1474,0
M101,69,29.93,2.451,98.84,1486,0
M101,70,23.54,1.606,99.61,1488,0
M101,71,37.86,2.868,101.42,1495,0
M101,72,37.11,1.931,97.78,1511,0
M101,73,39.48,1.765,98.35,1503,0
M101,74,44.6,3.038,106.65,1519,0
M101,75,34.65,2.236,96.5,1469,0
M101,76,42.68,2.191,96.93,1512,0
M101,77,43.1,1.636,104.2,1489,0
M101,78,37.76,3.355,97.4,1496,0
M101,79,35.7,1.768,100.87,1465,0
M101,80,40.45,2.482,99.97,1505,0
M101,81,42.68,1.838,100.48,1483,0
M101,82,40.76,2.162,100.85,1505,0
M101,83,36.66,2.362,101.87,1488,0
M101,84,36.01,2.058,97.56,1520,0
M101,85,39.11,1.617,99.59,1474,0
M101,86,40.65,2.409,97.13,1499,0
M101,87,38.39,2.537,102.13,1501,0
M101,88,40.3,2.891,96.47,1523,0
M101,89,39.97,1.134,101.45,1492,0
M101,90,43.34,3.119,97.81,1488,0
M101,91,34.39,1.497,98.87,1473,0
M101,92,41.4,2.065,99.94,1460,0
M101,93,37.0,1.819,94.45,1480,0
M101,94,36.54,2.215,104.22,1464,0
M101,95,35.27,2.627,99.53,1485,0
M101,96,38.67,2.289,98.98,1488,0
M101,97,38.81,1.797,101.11,1480,0
M101,98,35.87,2.654,99.76,1509,0
M101,99,43.59,2.807,96.46,1498,0
M101,100,35.55,1.926,98.81,1490,0
M101,101,41.25,2.423,99.99,1498,0
M101,102,40.21,2.545,98.22,1519,0
M101,103,39.27,2.998,99.97,1513,0
M101,104,38.65,1.972,99.55,1471,0
M101,105,38.17,2.18,100.87,1497,0
M101,106,36.04,2.565,100.56,1503,0
M101,107,44.05,1.623,97.08,1506,0
M101,108,46.27,2.013,100.12,1498,0
M101,109,34.27,1.139,97.5,1481,0
M101,110,36.5,2.581,98.94,1451,0
M101,111,36.54,3.415,97.55,1520,0
M101,112,41.12,1.908,98.3,1468,0
M101,113,37.76,2.686,95.85,1471,0
M101,114,37.15,1.835,99.26,1462,0
M101,115,40.91,2.234,102.58,1492,0
M101,116,32.7,2.605,97.8,1503,0
M101,117,38.36,2.632,98.56,1482,0
M101,118,37.46,2.689,99.92,1482,0
M101,119,31.03,2.134,101.35,1499,0
M101,120,37.15,2.903,95.77,1483,0
M101,121,43.74,3.33,100.7,1461,0
M101,122,36.74,2.985,97.01,1464,0
M101,123,38.51,2.665,97.96,1525,0
M101,124,39.35,2.868,100.41,1492,0
M101,125,36.91,1.824,100.96,1486,0
M101,126,38.43,2.484,97.23,1460,0
M101,127,37.37,2.539,98.11,1516,0
M101,128,42.08,2.365,98.04,1516,0
M101,129,46.96,2.546,97.9,1484,0
M101,130,34.63,2.41,98.69,1477,0
M101,131,43.47,2.109,96.79,1506,0
M101,132,32.29,2.374,95.97,1488,0
M101,133,38.07,2.697,98.17,1498,0
M101,134,44.08,3.063,98.84,1467,0
M101,135,39.37,2.245,99.87,1466,0
M101,136,38.54,1.452,95.64,1472,0
M101,137,39.81,3.332,96.4,1523,0
M101,138,45.39,3.115,93.73,1474,0
M101,139,37.45,2.799,95.62,1495,0
M101,140,48.65,2.855,94.37,1478,0
M101,141,38.05,2.957,97.7,1481,0
M101,142,41.63,2.735,96.54,1475,0
M101,143,44.26,2.867,93.48,1485,0
M101,144,40.15,3.143,95.74,1510,0
M101,145,38.43,2.449,96.94,1480,0
M101,146,41.94,3.131,98.87,1475,0
M101,147,43.55,3.155,93.68,1517,0
M101,148,44.47,2.315,100.65,1494,0
M101,149,37.81,3.462,97.13,1472,0
M101,150,36.68,1.943,96.03,1526,0
M101,151,44.11,3.431,95.26,1460,0
M101,152,42.1,3.133,95.03,1519,0
M101,153,37.26,3.141,93.73,1490,0
M101,154,42.55,2.643,96.66,1473,0
M101,155,37.87,3.228,95.55,1464,0
M101,156,47.29,3.303,95.9,1488,0
M101,157,42.45,3.011,95.58,1460,0
M101,158,43.55,2.511,96.25,1465,0
M101,159,39.52,4.318,98.4,1496,0
M101,160,42.98,3.577,93.58,1497,0
M101,161,42.79,2.711,91.16,1492,0
M101,162,44.5,3.235,96.14,1494,0
M101,163,43.28,2.581,94.41,1514,0
M101,164,39.96,2.442,96.77,1447,0
M101,165,48.15,2.451,95.87,1456,0
M101,166,43.77,3.733,91.61,1457,0
M101,167,40.84,3.29,96.18,1484,0
M101,168,42.29,3.254,94.62,1506,0
M101,169,39.17,3.685,95.88,1463,0
M101,170,45.73,2.679,93.7,1469,0
M101,171,40.22,3.199,96.06,1464,0
M101,172,40.71,3.52,93.99,1448,0
M101,173,41.77,3.57,91.26,1464,0
M101,174,43.34,3.518,92.34,1491,0
M101,175,46.51,3.535,91.6,1542,0
M101,176,47.66,4.387,92.01,1475,0
M101,177,39.85,3.214,93.73,1483,0
M101,178,43.24,3.933,91.62,1505,0
M101,179,42.42,3.269,92.48,1474,0
M101,180,48.52,3.262,93.43,1488,0
M101,181,40.34,2.584,96.07,1470,0
M101,182,42.47,3.09,92.95,1488,1
M101,183,44.97,3.354,93.57,1481,1
M101,184,45.72,3.827,93.55,1469,1
M101,185,43.39,3.652,93.73,1503,1
M101,186,51.24,3.874,96.28,1499,1
M101,187,42.3,3.185,90.82,1481,1
M101,188,45.67,4.13,94.27,1491,1
M101,189,43.26,3.578,96.04,1492,1
M101,190,48.1,4.14,91.49,1474,1
M101,191,47.03,3.846,91.96,1483,1
M101,192,47.19,4.295,90.01,1430,1
M101,193,50.29,3.6,94.54,1444,1
M101,194,50.01,3.769,93.15,1458,1
M101,195,42.34,3.76,89.52,1434,1
M101,196,50.37,4.61,91.73,1460,1
M101,197,47.71,4.203,90.55,1467,1
M101,198,47.91,4.661,90.85,1470,1
M101,199,51.34,4.783,90.74,1503,1
M101,200,48.5,5.08,90.22,1499,1
M101,201,46.73,3.816,93.48,1486,1
M101,202,49.98,5.039,91.59,1470,1
M102,1,56.98,1.008,101.34,1490,0
M102,2,59.79,0.833,102.56,1500,0
M102,3,64.41,1.137,103.45,1484,0
M102,4,56.83,0.1,102.06,1513,0
M102,5,63.38,0.856,100.2,1508,0
M102,6,59.8,1.221,100.92,1512,0
M102,7,59.05,0.629,98.42,1498,0
M102,8,60.08,0.813,98.9,1502,0
M102,9,59.93,0.455,101.6,1517,0
M102,10,65.2,0.1,99.57,1534,0
M102,11,58.9,1.277,99.13,1483,0
M102,12,58.76,0.792,97.05,1512,0
M102,13,62.66,1.953,99.6,1488,0
M102,14,63.37,0.491,102.26,1510,0
M102,15,61.05,1.025,101.6,1500,0
M102,16,58.92,1.632,101.13,1527,0
M102,17,61.78,1.356,100.23,1503,0
M102,18,67.81,0.623,97.94,1530,0
M102,19,57.75,1.35,101.43,1539,0
M102,20,61.41,1.014,100.29,1483,0
M102,21,68.63,0.1,100.67,1485,0
M102,22,68.0,0.943,102.22,1489,0
M102,23,63.3,0.651,100.99,1496,0
M102,24,61.42,0.931,99.07,1522,0
M102,25,62.53,0.758,99.49,1498,0
M102,26,61.97,0.355,97.89,1499,0
M102,27,64.29,0.612,97.64,1508,0
M102,28,67.44,0.864,100.22,1483,0
M102,29,64.36,0.366,98.54,1447,0
M102,30,67.94,1.119,98.64,1482,0
M102,31,67.59,0.855,100.22,1480,0
M102,32,71.28,0.1,103.33,1544,0
M102,33,64.0,1.133,101.53,1490,0
M102,34,65.69,0.63,99.95,1502,0
M102,35,60.4,0.93,99.79,1465,0
M102,36,66.01,0.812,100.48,1503,0
M102,37,59.64,1.058,99.96,1507,0
M102,38,60.52,0.365,96.71,1518,0
M102,39,53.6,0.625,99.89,1504,0
M102,40,65.59,0.551,99.1,1502,0
M102,41,63.5,0.419,98.9,1482,0
M102,42,64.13,1.004,96.95,1478,0
M102,43,64.84,0.332,95.29,1501,0
M102,44,59.55,1.409,95.93,1486,0
M102,45,61.07,1.278,102.0,1482,0
M102,46,58.65,0.438,99.92,1506,0
M102,47,64.72,0.546,101.08,1478,0
M102,48,63.65,0.743,95.93,1521,0
M102,49,63.94,0.724,95.22,1454,0
M102,50,60.51,0.1,96.47,1493,0
M102,51,60.18,0.691,99.54,1481,0
M102,52,63.18,0.1,100.15,1500,0
M102,53,60.59,1.398,98.87,1505,0
M102,54,66.43,1.126,96.82,1479,0
M102,55,57.82,1.535,99.68,1464,0
M102,56,60.03,1.36,99.27,1504,0
M102,57,53.89,0.1,98.41,1473,0
M102,58,62.03,1.195,100.54,1529,0
M102,59,61.18,1.086,98.64,1516,0
M102,60,68.29,0.591,99.24,1491,0
M102,61,57.31,1.834,96.98,1521,0
M102,62,64.98,2.11,99.57,1454,0
M102,63,60.38,1.394,96.24,1495,0
M102,64,58.86,0.691,96.07,1508,0
M102,65,60.34,0.1,99.08,1494,0
M102,66,69.05,0.201,99.39,1478,0
M102,67,60.87,0.747,99.28,1506,0
M102,68,62.03,0.816,98.46,1494,0
M102,69,58.56,1.041,98.26,1520,0
M102,70,61.11,0.13,97.82,1493,0
M102,71,62.97,0.1,100.25,1493,0
M102,72,62.77,1.479,100.09,1459,0
M102,73,61.39,0.825,97.96,1495,0
M102,74,56.14,1.28,99.39,1538,0
M102,75,66.62,0.1,97.88,1504,0
M102,76,69.94,0.392,97.75,1483,0
M102,77,64.19,1.382,96.98,1470,0
M102,78,63.02,0.474,99.94,1481,0
M102,79,58.52,0.419,97.69,1517,0
M102,80,65.17,1.209,99.19,1468,0
M102,81,65.75,0.941,98.26,1497,0
M102,82,60.24,1.219,102.43,1518,0
M102,83,59.41,0.996,97.5,1504,0
M102,84,65.2,1.305,97.03,1498,0
M102,85,66.41,0.737,97.73,1474,0
M102,86,68.88,0.957,100.66,1506,0
M102,87,66.97,0.45,98.44,1512,0
M102,88,64.42,0.674,99.68,1504,0
M102,89,67.25,0.972,100.9,1478,0
M102,90,66.25,1.239,99.01,1479,0
M102,91,67.98,2.11,96.08,1505,0
M102,92,68.9,0.1,98.69,1493,0
M102,93,62.3,1.153,97.29,1466,0
M102,94,65.14,0.6,95.68,1490,0
M102,95,63.12,1.268,98.79,1495,0
M102,96,61.79,0.695,98.87,1500,0
M102,97,64.27,1.262,98.7,1493,0
M102,98,66.82,0.908,96.29,1502,0
M102,99,63.45,1.123,96.99,1497,0
M102,100,67.81,0.432,97.77,1497,0
M102,101,61.9,0.745,97.65,1490,0
M102,102,56.54,1.083,100.04,1470,0
M102,103,61.43,0.499,101.95,1461,0
M102,104,68.41,0.325,98.95,1482,0
M102,105,62.67,0.291,98.26,1471,0
M102,106,74.27,0.661,95.34,1463,0
M102,107,67.46,0.995,97.39,1467,0
M102,108,66.4,0.607,97.76,1506,0
M102,109,63.96,1.044,94.4,1464,0
M102,110,68.02,0.487,94.65,1435,0
M102,111,65.14,1.05,98.35,1518,0
M102,112,63.94,1.457,94.73,1515,0
M102,113,64.82,0.663,95.79,1514,0
M102,114,69.04,1.707,94.98,1480,0
M102,115,59.64,0.713,97.48,1473,0
M102,116,68.14,1.222,96.07,1463,0
M102,117,63.95,1.44,96.06,1496,0
M102,118,71.29,1.533,98.64,1481,0
M102,119,67.86,1.174,96.12,1470,0
M102,120,62.1,1.612,92.91,1471,0
M102,121,70.63,1.624,97.09,1495,0
M102,122,65.89,2.124,94.35,1476,0
M102,123,62.64,1.21,94.45,1488,0
M102,124,64.54,1.07,94.05,1495,0
M102,125,64.7,2.098,97.37,1512,0
M102,126,69.7,0.672,95.14,1486,0
M102,127,69.57,0.812,96.16,1490,0
M102,128,64.1,0.838,96.21,1486,0
M102,129,64.72,0.899,95.83,1455,0
M102,130,68.13,1.273,94.75,1458,0
M102,131,68.2,2.051,94.62,1463,0
M102,132,65.92,2.108,93.83,1479,0
M102,133,67.86,1.016,92.48,1476,0
M102,134,67.33,1.508,93.59,1503,0
M102,135,67.55,2.054,94.13,1475,0
M102,136,60.33,1.967,93.84,1519,0
M102,137,67.51,1.03,96.41,1475,0
M102,138,69.55,1.256,96.17,1449,0
M102,139,65.34,1.486,96.11,1491,0
M102,140,70.27,2.245,96.46,1481,0
M102,141,66.18,1.65,93.64,1477,0
M102,142,73.35,2.336,94.07,1469,0
M102,143,68.24,1.355,94.74,1456,0
M102,144,73.81,1.83,98.56,1490,0
M102,145,72.44,2.302,93.74,1498,0
M102,146,70.34,1.803,94.43,1485,0
M102,147,66.9,1.718,92.32,1489,0
M102,148,64.52,1.768,93.88,1476,0
M102,149,70.83,1.268,93.16,1485,0
M102,150,68.49,2.67,94.74,1490,0
M102,151,66.69,1.785,94.88,1495,0
M102,152,73.48,1.654,93.3,1450,0
M102,153,70.27,1.351,89.12,1471,0
M102,154,64.69,1.389,94.04,1501,0
M102,155,61.88,1.575,91.93,1473,0
M102,156,69.7,2.134,94.09,1448,0
M102,157,73.78,1.85,92.56,1477,0
M102,158,70.28,1.375,92.13,1482,0
M102,159,72.08,1.503,92.67,1464,0
M102,160,69.09,2.428,92.74,1472,0
M102,161,69.4,2.238,90.21,1453,0
M102,162,72.45,1.26,94.62,1490,0
M102,163,68.21,1.132,89.85,1493,1
M102,164,70.42,3.438,91.7,1457,1
M102,165,63.49,1.921,92.68,1479,1
M102,166,70.15,1.427,92.09,1468,1
M102,167,70.42,1.563,95.14,1453,1
M102,168,69.98,1.273,92.98,1483,1
M102,169,72.32,2.886,89.14,1497,1
M102,170,67.75,2.004,93.75,1476,1
M102,171,70.28,2.856,89.84,1466,1
M102,172,71.55,2.436,89.83,1478,1
M102,173,72.1,3.176,88.93,1497,1
M102,174,76.1,2.891,88.97,1479,1
M102,175,70.91,3.106,92.41,1489,1
M102,176,75.92,2.387,88.24,1486,1
M102,177,74.55,2.658,91.66,1493,1
M102,178,67.83,3.041,90.15,1527,1
M102,179,72.3,2.24,91.8,1488,1
M102,180,71.79,3.547,90.1,1511,1
M102,181,71.47,2.593,89.13,1502,1
M102,182,76.08,2.715,91.87,1492,1
M102,183,75.62,3.299,94.57,1508,1
M103,1,60.1,1.846,91.91,1490,0
M103,2,62.56,3.168,96.34,1511,0
M103,3,58.08,1.806,93.22,1516,0
M103,4,56.11,1.403,97.91,1494,0
M103,5,70.59,3.124,92.9,1487,0
M103,6,70.1,2.96,93.21,1493,0
M103,7,59.16,2.187,92.54,1496,0
M103,8,62.62,3.243,92.31,1487,0
M103,9,68.09,2.949,95.04,1514,0
M103,10,58.51,2.373,92.76,1517,0
M103,11,65.31,2.19,93.74,1506,0
M103,12,65.6,3.276,89.97,1530,0
M103,13,63.86,2.588,93.29,1507,0
M103,14,63.81,2.248,91.87,1514,0
M103,15,66.14,2.328,94.45,1493,0
M103,16,63.75,1.61,94.86,1501,0
M103,17,61.58,3.075,92.88,1501,0
M103,18,66.91,3.312,94.74,1501,0
M103,19,60.27,2.153,97.14,1500,0
M103,20,60.15,3.352,89.36,1520,0
M103,21,64.98,2.597,91.37,1516,0
M103,22,66.11,3.181,90.0,1487,0
M103,23,61.25,3.026,92.73,1482,0
M103,24,63.83,2.825,91.3,1502,0
M103,25,59.56,2.82,89.77,1502,0
M103,26,57.63,1.857,92.18,1504,0
M103,27,64.32,2.297,93.85,1451,0
M103,28,64.91,2.58,90.19,1502,0
M103,29,65.52,3.269,93.75,1496,0
M103,30,69.36,3.144,94.33,1475,0
M103,31,64.9,2.358,91.32,1455,0
M103,32,63.89,3.427,97.71,1513,0
M103,33,60.85,3.06,91.32,1527,0
M103,34,68.55,1.973,93.35,1460,0
M103,35,63.04,2.484,95.21,1483,0
M103,36,61.25,2.876,90.67,1470,0
M103,37,69.9,2.745,92.81,1507,0
M103,38,63.05,3.009,90.76,1491,0
M103,39,61.55,2.366,94.01,1537,0
M103,40,60.02,3.06,94.04,1509,0
