application_id,group,annual_income,credit_score,employment_length,debt_to_income,revolving_util,num_credit_lines,loan_amount,home_ownership,loan_purpose,age,defaulted
L64385,A,"$155,458",701.0,10+ years,0.332,0.373,8,24800,Rent,credit_card,61,0
L64731,B,"$16,220",585.0,< 1 year,0.28,0.082,8,10500,MORTGAGE,major_purchase,30,0
L64589,A,"$71,971",661.0,2 years,0.38,0.288,7,3900,MORTGAGE,debt_consolidation,11,0
L63146,A,"$30,370",,2 years,0.249,0.273,8,1000,OWN,credit_card,31,0
L60218,A,"$76,185",732.0,9 years,0.272,0.524,13,12600,rent,other,37,0
L61561,B,"$53,658",684.0,4 years,0.504,0.586,11,22800,MORTGAGE,debt_consolidation,24,0
L61500,A,"$141,635",667.0,9 years,0.323,0.739,6,11300,RENT,credit_card,70,0
L64977,B,"$43,855",632.0,10+ years,0.167,0.516,4,18900,MORTGAGE,home_improvement,65,0
L61202,B,"$153,444",663.0,5 years,0.198,0.065,11,15300,Own,debt_consolidation,44,0
L64976,B,"$45,259",570.0,1 years,0.232,0.765,5,28300,Rent,other,18,0
L62767,B,"$59,441",533.0,7 years,0.288,0.33,7,8700,RENT,credit_card,67,0
L62477,A,"$55,053",725.0,4 years,0.147,0.343,11,13000,Rent,debt_consolidation,30,0
L60976,A,"$59,498",716.0,,0.173,0.0,8,15200,OWN,debt consolidation,36,0
L61303,A,"$70,259",724.0,8 years,0.263,0.546,11,36200,MORTGAGE,major_purchase,35,0
L61402,A,"$36,631",722.0,5 years,0.084,0.851,8,12600,MORTGAGE,credit card,30,0
L60604,A,"$45,761",736.0,3 years,0.175,0.373,5,21600,MORTGAGE,debt_consolidation,23,0
L64390,B,"$24,871",840.0,8 years,0.428,0.21,11,1000,OWN,Debt Consolidation,67,0
L64016,B,"$27,755",552.0,4 years,0.188,0.424,4,5100,MORTGAGE,medical,31,0
L64910,B,"$68,723",715.0,10+ years,0.375,0.467,6,26400,Rent,credit_card,18,0
L63976,B,"$41,525",708.0,3 years,0.241,0.797,8,27600,rent,debt_consolidation,33,0
L60137,A,"$43,863",744.0,3 years,0.2,0.923,16,19800,RENT,Major Purchase,23,1
L64738,A,"$68,917",683.0,5 years,0.161,0.606,11,1000,Rent,major_purchase,33,0
L60801,A,"$39,424",710.0,10+ years,0.393,0.584,10,1000,OWN,Credit Card,33,0
L63104,B,"$124,319",661.0,< 1 year,0.333,0.004,7,3500,RENT,home_improvement,54,0
L64238,A,"$45,356",649.0,5 years,0.439,0.38,10,21900,MORTGAGE,debt_consolidation,32,1
L60866,A,"$47,506",704.0,2 years,0.459,0.682,7,21500,RENT,Medical,27,1
L61167,A,"$52,068",719.0,3 years,0.35,0.46,10,10200,Mortgage,major_purchase,20,0
L63900,A,"$30,660",770.0,7 years,0.34,0.149,12,10000,rent,debt_consolidation,26,0
L63964,B,"$28,983",784.0,1 years,0.253,0.442,8,23800,Own,credit_card,25,0
L60250,A,"$33,892",609.0,< 1 year,0.21,0.722,5,13200,RENT,debt consolidation,38,1
L62926,B,"$262,109",712.0,2 years,0.35,0.258,6,12600,RENT,Credit Card,29,0
L60307,A,"$64,598",715.0,6 years,0.262,0.0,7,15200,RENT,other,18,0
L61577,A,"$221,488",723.0,10+ years,0.248,0.482,9,3300,MORTGAGE,credit_card,34,0
L65142,A,"$140,326",620.0,4 years,0.207,0.307,12,27600,RENT,credit_card,45,0
L60045,A,"$113,690",765.0,1 years,0.387,0.381,14,14000,RENT,medical,41,0
L60375,A,"$39,738",657.0,2 years,0.232,0.559,13,8200,mortgage,credit_card,32,1
L61974,A,"$16,464",734.0,4 years,0.09,0.547,12,22200,RENT,debt_consolidation,25,0
L60258,B,"$26,545",565.0,< 1 year,0.391,0.443,5,26000,RENT,debt_consolidation,23,1
L62746,A,"$64,223",732.0,1 years,0.377,0.362,7,13200,MORTGAGE,other,41,0
L64099,B,"$68,732",709.0,3 years,0.245,0.288,7,23800,mortgage,debt_consolidation,51,0
L61457,A,"$36,126",595.0,5 years,0.197,0.085,7,34000,mortgage,debt_consolidation,47,0
L64291,A,"$143,111",678.0,10+ years,0.072,0.391,11,5700,RENT,credit_card,44,0
L61946,B,"$42,214",,10+ years,0.261,0.433,9,22700,RENT,other,29,0
L64037,A,"$158,141",630.0,4 years,0.296,0.421,6,33100,RENT,credit_card,18,0
L63826,B,"$49,449",679.0,10+ years,0.293,0.439,5,12600,RENT,credit_card,47,1
L60885,A,"$54,277",699.0,5 years,0.17,0.0,7,8500,MORTGAGE,major_purchase,49,0
L62782,A,"$55,367",636.0,4 years,0.228,0.565,6,1000,MORTGAGE,debt_consolidation,41,0
L64087,B,"$58,274",604.0,10+ years,0.203,0.054,10,1000,RENT,Other,54,0
L60054,A,"$78,257",730.0,7 years,0.488,0.647,9,1000,RENT,other,48,1
L64489,B,"$106,859",713.0,1 years,0.333,0.722,9,1000,OWN,Home Improvement,39,0
L61321,B,"$56,297",641.0,5 years,0.252,0.563,8,9600,OWN,home_improvement,51,0
L61365,A,"$67,940",758.0,8 years,0.254,0.602,11,18200,Rent,credit_card,27,0
L62934,B,"$17,458",692.0,< 1 year,0.358,0.319,6,10700,RENT,debt_consolidation,57,0
L64857,A,"$58,695",795.0,10+ years,0.156,0.348,11,26000,rent,other,45,0
L60385,B,"$122,937",583.0,7 years,0.417,0.571,9,18800,MORTGAGE,Medical,42,1
L64902,A,"$59,681",790.0,7 years,0.302,0.649,6,12500,MORTGAGE,credit_card,55,0
L63480,B,"$71,191",682.0,2 years,0.285,0.608,9,21300,own,medical,53,0
L61305,A,"$86,605",638.0,5 years,0.192,0.387,11,10700,RENT,credit_card,39,0
L62194,A,"$82,684",768.0,2 years,0.209,0.624,9,3800,Rent,credit_card,38,0
L60257,B,"$60,597",679.0,2 years,0.285,0.381,9,18400,MORTGAGE,debt_consolidation,48,0
L61912,B,"$39,938",635.0,5 years,0.139,0.561,5,2100,rent,debt_consolidation,35,0
L65149,A,"$32,797",693.0,2 years,0.196,0.254,11,18800,RENT,Major Purchase,48,0
L62689,B,"$59,469",817.0,2 years,0.362,0.495,7,9600,rent,Credit Card,45,0
L64013,A,"$76,305",780.0,6 years,0.287,0.295,10,9800,MORTGAGE,debt_consolidation,43,0
L63358,B,"$39,681",680.0,5 years,0.269,0.46,9,23500,rent,debt_consolidation,41,1
L62463,A,"$67,080",639.0,3 years,0.291,0.0,8,33600,RENT,debt_consolidation,33,0
L61002,A,"$59,161",756.0,2 years,0.255,0.399,13,7300,MORTGAGE,major_purchase,35,0
L64869,B,"$45,140",502.0,9 years,0.42,0.268,5,1000,Rent,home_improvement,44,0
L64146,A,"$44,004",806.0,5 years,0.122,0.507,9,8300,MORTGAGE,credit_card,41,0
L60279,B,"$66,125",778.0,,0.256,0.241,8,2200,MORTGAGE,debt_consolidation,36,0
L63141,A,"$48,008",687.0,3 years,0.341,0.213,13,13300,Own,major_purchase,38,0
L63961,A,"$62,863",616.0,5 years,0.346,0.493,9,7200,RENT,credit_card,33,1
L62510,A,"$61,576",579.0,8 years,0.352,0.593,6,13500,RENT,debt_consolidation,46,0
L65195,A,"$20,871",673.0,6 years,0.102,0.368,7,23200,MORTGAGE,debt_consolidation,45,0
L63228,A,"$36,042",731.0,7 years,0.137,0.438,6,20500,OWN,Major Purchase,30,1
L61734,B,"$55,468",778.0,4 years,0.461,0.46,5,17200,MORTGAGE,Medical,24,0
L65021,A,"$57,957",778.0,10+ years,0.417,0.226,9,16800,Mortgage,Home Improvement,50,1
L61069,B,"$39,627",674.0,5 years,0.245,0.45,5,11000,MORTGAGE,debt_consolidation,53,0
L62484,A,"$191,897",693.0,10+ years,0.237,0.313,12,16000,RENT,debt_consolidation,59,0
L61971,A,"$101,244",630.0,4 years,0.315,0.623,5,20100,MORTGAGE,Home Improvement,18,0
L60192,B,"$31,844",652.0,10 years,0.198,0.536,7,1000,OWN,other,42,0
L60895,A,"$59,765",746.0,10+ years,0.238,0.135,5,11800,RENT,debt_consolidation,37,0
L62882,A,"$60,658",777.0,4 years,0.396,0.218,8,24400,Rent,credit_card,18,0
L60489,A,"$45,591",579.0,10+ years,0.179,0.123,8,18600,RENT,medical,34,0
L60929,A,"$18,452",780.0,8 years,0.279,0.557,8,1000,MORTGAGE,debt_consolidation,57,0
L64741,A,"$77,312",721.0,7 years,0.234,0.252,9,16300,RENT,debt_consolidation,32,0
L63245,A,"$37,769",770.0,8 years,0.017,0.531,15,27100,RENT,credit_card,57,0
L63042,A,"$72,235",692.0,4 years,0.273,0.124,11,11100,rent,debt_consolidation,69,0
L63698,A,"$58,095",656.0,2 years,0.063,0.199,11,32000,RENT,Other,42,0
L65100,A,"$83,301",785.0,3 years,0.324,0.37,9,12600,MORTGAGE,home_improvement,58,0
L64747,A,"$40,933",652.0,6 years,0.207,0.721,13,29100,MORTGAGE,other,32,0
L63711,A,"$66,007",710.0,2 years,0.451,0.078,6,26300,OWN,major_purchase,42,0
L60776,A,"$184,334",657.0,10+ years,0.094,0.13,13,1000,OWN,other,58,0
L62287,B,"$60,089",582.0,9 years,0.305,0.726,9,7100,mortgage,credit_card,27,0
L62612,A,"$65,988",678.0,8 years,0.349,0.397,10,10100,RENT,debt_consolidation,49,0
L61896,B,"$61,671",676.0,7 years,0.261,0.525,5,34000,MORTGAGE,credit_card,56,0
L60822,A,"$51,639",681.0,7 years,0.423,0.753,14,1000,Mortgage,debt_consolidation,35,1
L61394,B,"$15,400",559.0,6 years,0.195,0.321,3,17500,Rent,other,48,0
L63569,A,"$64,177",608.0,3 years,0.113,0.301,7,22300,mortgage,debt_consolidation,73,0
L64425,B,"$94,159",560.0,2 years,0.357,0.72,9,12500,RENT,debt_consolidation,51,0
L63112,A,"$35,718",694.0,< 1 year,0.405,0.45,11,17300,RENT,major_purchase,46,1
L62683,B,"$90,885",702.0,10 years,0.167,0.774,7,36300,MORTGAGE,debt_consolidation,39,1
L61471,B,"$45,033",572.0,5 years,0.395,0.094,5,1000,MORTGAGE,credit_card,47,1
L63163,B,"$48,636",834.0,10+ years,0.282,0.715,5,18500,MORTGAGE,home_improvement,37,0
L62774,B,"$74,783",565.0,< 1 year,0.443,0.878,4,1900,MORTGAGE,Credit Card,36,1
L63262,A,"$20,592",714.0,8 years,0.333,0.381,9,19400,MORTGAGE,credit_card,39,1
L65139,A,"$16,319",777.0,4 years,0.321,0.792,12,12500,MORTGAGE,home_improvement,54,0
L63343,A,"$30,229",674.0,3 years,0.158,0.299,9,1200,RENT,home_improvement,21,0
L60060,B,"$68,455",695.0,6 years,0.418,0.353,8,7600,RENT,credit_card,24,0
L64359,A,"$99,716",688.0,3 years,0.189,0.443,6,24200,RENT,debt_consolidation,28,0
L64512,A,"$57,846",613.0,4 years,0.267,0.545,10,15200,Rent,medical,53,0
L60081,A,"$110,717",551.0,10+ years,0.246,0.34,12,1000,MORTGAGE,debt_consolidation,39,0
L60697,A,"$56,096",660.0,6 years,0.105,0.0,11,14600,own,credit_card,41,0
L64003,B,"$36,250",712.0,3 years,0.282,0.37,7,15200,RENT,debt_consolidation,76,0
L61177,A,"$46,759",685.0,2 years,0.486,0.61,6,9700,RENT,credit_card,47,1
L60338,B,"$72,080",711.0,2 years,0.175,0.532,6,19100,RENT,debt_consolidation,18,0
L61744,A,"$127,717",720.0,2 years,0.312,0.862,9,35000,RENT,credit_card,43,0
L61996,B,"$51,671",638.0,< 1 year,0.296,0.0,1,33200,RENT,other,44,0
L64333,A,"$74,529",682.0,3 years,0.35,0.564,8,33100,MORTGAGE,Home Improvement,57,0
L61525,B,"$47,555",563.0,,0.244,0.509,6,14500,MORTGAGE,credit_card,43,0
L61215,A,"$204,686",736.0,10+ years,0.262,0.379,9,9900,MORTGAGE,credit_card,38,0
L64985,B,"$46,242",489.0,6 years,0.33,0.548,7,20700,rent,debt_consolidation,44,0
L60363,A,"$44,890",657.0,4 years,0.393,0.163,11,8600,Rent,debt consolidation,37,0
L61637,B,"$182,291",603.0,1 years,0.498,0.332,6,21800,MORTGAGE,Medical,33,1
L61298,B,"$52,524",589.0,3 years,0.315,0.463,6,5200,MORTGAGE,debt_consolidation,66,0
L64972,A,"$63,442",785.0,9 years,0.21,0.455,10,17400,MORTGAGE,home_improvement,33,0
L64803,A,"$73,210",724.0,10 years,0.362,0.839,7,13000,Rent,Debt Consolidation,47,1
L61278,B,"$111,613",725.0,2 years,0.241,0.944,6,23200,RENT,debt_consolidation,44,0
L61794,B,"$43,230",753.0,4 years,0.301,0.0,9,43100,RENT,debt_consolidation,40,0
L64907,A,"$87,441",649.0,10+ years,0.267,0.667,10,20000,RENT,debt_consolidation,42,0
L60549,B,"$48,748",626.0,10+ years,0.222,0.536,8,13800,RENT,debt_consolidation,37,0
L64300,B,"$73,237",677.0,4 years,0.098,0.576,9,8800,Own,credit_card,39,0
L63764,A,"$35,466",710.0,8 years,0.222,0.17,12,1000,RENT,debt_consolidation,48,0
L62604,B,"$60,865",652.0,10+ years,0.316,0.552,5,18500,Mortgage,home_improvement,80,0
L63463,A,"$58,491",674.0,3 years,0.66,0.212,15,6100,Rent,credit card,39,1
L62446,B,"$27,040",689.0,3 years,0.259,0.545,8,13800,mortgage,debt consolidation,25,1
L61879,B,"$41,273",702.0,6 years,0.14,0.527,9,20400,Mortgage,major_purchase,45,0
L61146,A,"$58,819",689.0,5 years,0.109,0.189,9,4600,MORTGAGE,debt_consolidation,54,0
L63503,B,"$73,280",642.0,10+ years,0.16,0.732,9,8300,MORTGAGE,Debt Consolidation,50,0
L64596,A,"$75,907",791.0,10 years,0.174,0.537,8,21200,MORTGAGE,credit_card,27,0
L60889,A,"$26,911",611.0,10+ years,0.148,0.487,4,24800,Own,Major Purchase,56,0
L63002,B,"$95,460",624.0,2 years,0.19,0.897,13,1000,RENT,debt_consolidation,36,0
L60882,A,"$23,741",683.0,1 years,0.094,0.165,11,8600,MORTGAGE,debt_consolidation,57,0
L60978,A,"$68,136",634.0,6 years,0.154,0.458,9,10500,OWN,debt consolidation,42,1
L62913,A,"$49,267",715.0,6 years,0.241,0.0,9,24500,Rent,debt_consolidation,34,0
L63526,A,"$23,073",673.0,5 years,0.445,0.674,9,1400,OWN,credit_card,29,1
L62391,A,"$82,826",717.0,3 years,0.34,0.28,8,14900,MORTGAGE,home_improvement,73,0
L60562,B,"$22,853",644.0,9 years,0.304,0.726,8,1300,MORTGAGE,debt_consolidation,55,0
L61927,A,"$37,219",657.0,6 years,0.19,0.362,10,21000,mortgage,home_improvement,18,0
L63014,A,"$84,418",619.0,5 years,0.247,0.361,11,12000,MORTGAGE,debt_consolidation,43,0
L62063,A,"$63,306",579.0,2 years,0.207,0.592,15,27400,RENT,major_purchase,44,1
L60436,A,"$42,600",736.0,10+ years,0.342,0.655,8,7000,Mortgage,debt_consolidation,20,0
L63887,B,"$39,333",628.0,2 years,0.241,0.474,12,15500,RENT,debt_consolidation,49,1
L63546,A,"$23,177",704.0,3 years,0.359,0.624,13,1000,MORTGAGE,credit_card,34,0
L60968,B,"$38,118",665.0,3 years,0.195,0.017,3,15500,RENT,medical,30,0
L62200,A,"$52,953",755.0,2 years,0.433,0.776,9,1100,RENT,debt_consolidation,49,1
L62824,B,"$82,390",794.0,5 years,0.296,0.127,4,28400,MORTGAGE,debt_consolidation,53,0
L60341,A,"$56,351",771.0,< 1 year,0.15,0.12,4,12700,mortgage,credit card,45,0
L63501,B,"$82,695",625.0,2 years,0.395,0.061,12,18900,MORTGAGE,debt_consolidation,42,0
L63738,B,"$42,746",759.0,4 years,0.319,1.042,7,30200,RENT,major_purchase,41,1
L65029,B,"$36,671",615.0,1 years,0.129,0.847,5,16700,Rent,debt_consolidation,18,0
L60670,A,"$53,815",697.0,3 years,0.437,0.121,9,9100,rent,credit card,27,0
L60377,A,"$66,146",776.0,8 years,0.31,0.653,9,16000,MORTGAGE,medical,18,0
L63836,B,"$38,398",640.0,3 years,0.215,0.676,10,12600,RENT,credit_card,51,0
L62877,A,"$22,808",756.0,9 years,0.291,0.318,11,5900,MORTGAGE,credit_card,71,1
L64416,B,"$80,187",579.0,< 1 year,0.508,0.727,9,13800,Mortgage,medical,36,0
L62404,A,"$68,454",752.0,4 years,0.121,0.25,10,24200,rent,credit_card,55,0
L61552,B,"$60,743",686.0,10+ years,0.377,0.329,10,17200,RENT,credit_card,52,0
L64080,B,"$62,875",627.0,6 years,0.302,0.588,9,27500,rent,credit_card,52,1
L62680,A,"$75,300",607.0,4 years,0.286,0.116,9,25900,OWN,credit_card,36,0
L63846,B,"$38,452",763.0,7 years,0.249,0.693,7,12000,MORTGAGE,debt_consolidation,19,1
L63552,A,"$50,278",683.0,10 years,0.222,0.498,10,8900,RENT,credit_card,31,0
L64142,A,"$40,476",722.0,3 years,0.337,0.592,11,17400,RENT,debt_consolidation,49,0
L63687,A,"$48,675",799.0,10+ years,0.439,0.625,14,22700,Rent,debt_consolidation,39,1
L60938,A,"$111,744",678.0,5 years,0.36,0.456,5,10700,rent,credit_card,41,0
L62316,B,"$37,352",683.0,4 years,0.169,0.731,13,17800,Rent,debt_consolidation,45,0
L61162,A,"$40,093",666.0,5 years,0.359,0.844,5,16700,RENT,debt_consolidation,43,0
L60934,B,"$65,122",761.0,10 years,0.248,0.502,8,26300,OWN,credit_card,45,0
L65001,A,"$27,729",747.0,3 years,0.327,0.879,4,28800,MORTGAGE,debt_consolidation,61,0
L63508,A,"$102,672",789.0,3 years,0.253,0.411,10,20200,RENT,debt_consolidation,64,0
L64056,A,"$69,950",792.0,3 years,0.412,0.38,14,14700,OWN,credit_card,37,0
L64696,A,"$35,075",562.0,4 years,0.261,0.381,9,32100,MORTGAGE,debt_consolidation,56,0
L65114,A,"$21,055",742.0,8 years,0.249,0.677,6,18900,RENT,debt_consolidation,40,0
L62991,B,"$33,198",,4 years,0.318,0.357,7,1000,mortgage,credit_card,64,0
L61139,B,"$45,435",666.0,2 years,0.373,0.317,8,5300,mortgage,debt_consolidation,30,0
L65011,B,"$74,245",550.0,3 years,0.296,0.417,9,8400,Rent,Major Purchase,31,1
L64322,A,"$95,648",820.0,6 years,0.284,0.35,11,22000,RENT,credit_card,51,0
L64335,B,"$78,945",644.0,1 years,0.336,0.53,5,10800,MORTGAGE,credit_card,50,0
L62755,B,"$35,166",716.0,3 years,0.235,0.308,6,20700,mortgage,debt_consolidation,59,0
L62229,A,"$33,469",676.0,8 years,0.304,0.0,8,10900,Rent,debt_consolidation,42,1
L60954,A,"$44,663",679.0,8 years,0.387,0.552,4,7300,RENT,major_purchase,33,0
L61034,A,"$99,138",710.0,2 years,0.292,0.19,8,16400,RENT,medical,53,0
L61112,A,"$256,560",704.0,5 years,0.456,0.447,7,6200,MORTGAGE,debt_consolidation,24,1
L65151,A,"$29,076",568.0,4 years,0.313,0.237,17,16500,mortgage,home_improvement,29,0
L62015,A,"$39,795",713.0,7 years,0.242,0.62,5,10400,Mortgage,credit_card,57,0
L64680,A,"$30,979",765.0,4 years,0.295,0.502,12,8000,RENT,home_improvement,34,0
L64284,A,"$23,037",695.0,9 years,0.462,0.424,3,25600,MORTGAGE,debt_consolidation,53,0
L60619,B,"$63,628",655.0,6 years,0.4,0.388,8,23300,RENT,Credit Card,18,0
L60821,A,"$33,554",673.0,3 years,0.266,0.355,13,24800,RENT,home_improvement,42,0
L60982,A,"$18,958",595.0,5 years,0.39,0.675,12,15000,OWN,debt_consolidation,38,1
L60088,A,"$136,140",680.0,10+ years,0.33,0.254,15,9000,RENT,debt_consolidation,51,0
L62966,A,"$75,859",626.0,10+ years,0.375,0.037,14,23900,RENT,debt_consolidation,50,0
L60592,B,"$32,846",654.0,9 years,0.322,0.869,6,27200,RENT,Home Improvement,55,0
L62491,B,"$17,220",633.0,3 years,0.223,0.547,10,13000,MORTGAGE,debt_consolidation,26,1
L63475,B,"$32,076",634.0,10+ years,0.382,0.712,8,24200,MORTGAGE,debt_consolidation,40,0
L60748,B,"$38,573",582.0,1 years,0.529,0.395,4,31800,MORTGAGE,debt_consolidation,47,1
L64580,A,"$51,585",738.0,2 years,0.383,0.318,4,17500,OWN,debt_consolidation,38,1
L60230,A,"$32,923",708.0,6 years,0.328,0.781,11,41500,RENT,home_improvement,43,0
L61339,B,"$44,246",661.0,10+ years,0.152,0.21,9,9100,RENT,major_purchase,54,0
L61440,B,"$38,002",597.0,4 years,0.365,0.423,7,25500,MORTGAGE,credit_card,47,0
L62007,B,"$103,820",702.0,9 years,0.356,0.681,10,13200,MORTGAGE,credit_card,36,0
L64691,A,"$56,822",644.0,3 years,0.262,0.203,7,11600,RENT,credit_card,51,0
L63268,A,"$110,774",626.0,< 1 year,0.27,0.342,9,10900,RENT,home_improvement,44,0
L64888,A,"$72,842",662.0,5 years,0.162,0.231,13,25700,RENT,debt_consolidation,47,0
L60955,A,"$77,702",607.0,5 years,0.251,0.308,12,10600,MORTGAGE,other,30,0
L61760,A,"$103,471",675.0,10+ years,0.13,0.0,7,21000,OWN,medical,33,0
L62175,A,"$61,182",732.0,2 years,0.464,0.333,15,14400,Rent,debt_consolidation,54,1
