employee_id,age,tenure_years,monthly_salary,satisfaction,work_life_balance,overtime,num_promotions,years_since_promotion,commute_km,job_role,exit_process_started,attrition
E72463,50,4.5,2500,5.0,1,No,2,9.5,34,Sales,0,0
E70871,30,3.8,6637,4.0,1,Yes,2,3.2,7,Support,0,0
E72555,26,4.4,7049,2.0,1,No,1,3.7,9,Sales,1,1
E72084,25,6.7,5468,2.0,1,No,0,3.3,27,Support,0,0
E73190,45,5.9,9274,2.0,4,Yes,2,4.1,12,Engineering,0,0
E71206,40,4.9,6035,5.0,1,No,3,4.1,19,Operations,0,0
E71228,31,3.4,6980,5.0,3,Yes,0,5.6,24,Engineering,0,0
E73073,30,8.9,2500,1.0,3,Yes,2,9.9,16,Engineering,0,0
E72948,43,10.6,9863,1.0,4,No,1,2.1,4,Management,0,0
E72530,24,4.0,4391,2.0,1,Yes,1,1.9,17,Support,0,0
E73082,38,4.1,10966,4.0,4,No,0,7.1,12,Management,0,0
E70972,32,4.7,7471,3.0,2,No,0,1.4,2,Operations,1,0
E71798,44,4.7,7084,1.0,1,No,0,0.7,12,Operations,0,0
E72403,42,2.4,5793,2.0,2,No,1,0.2,10,Engineering,0,0
E71379,49,5.7,3692,2.0,4,Yes,1,0.8,13,Engineering,0,0
E73865,42,9.0,8330,2.0,4,No,0,6.7,10,Engineering,0,0
E70475,27,1.6,2500,1.0,2,No,0,3.3,4,Management,0,1
E71900,33,4.8,9453,4.0,1,No,4,4.7,37,Operations,0,0
E71260,33,5.2,8951,5.0,2,Yes,0,6.2,22,Operations,1,1
E73600,49,2.4,3740,1.0,3,No,2,4.5,8,Support,1,1
E73987,31,3.6,4403,3.0,3,No,1,5.7,29,Support,0,0
E71287,27,2.8,6667,1.0,1,Yes,1,4.4,8,Operations,1,1
E70556,37,6.8,5488,1.0,1,Yes,1,3.0,2,Engineering,0,0
E70524,34,3.4,6979,4.0,3,No,0,2.0,13,Sales,0,0
E73546,40,3.2,6488,3.0,3,Yes,2,4.1,27,Operations,0,0
E71764,21,4.7,10309,5.0,4,Yes,2,2.7,8,Sales,0,0
E71540,34,1.7,3723,3.0,4,No,4,0.9,42,Sales,0,0
E73745,40,2.7,6271,5.0,4,No,2,1.9,15,Operations,0,0
E73029,50,2.0,6537,5.0,4,Yes,1,5.7,8,Engineering,0,0
E72582,46,2.2,5788,3.0,1,No,1,2.3,30,Engineering,1,1
E73339,39,6.2,2802,2.0,2,No,0,1.4,10,Sales,0,0
E70280,35,6.8,3960,4.0,3,No,1,2.7,34,Engineering,0,0
E71352,39,1.7,6437,2.0,4,Yes,4,3.8,6,Sales,0,0
E70277,50,3.6,4220,1.0,3,No,1,3.8,3,Operations,0,0
E73579,46,3.4,7789,2.0,4,No,1,2.3,11,Operations,0,0
E72206,44,3.1,6161,4.0,2,No,1,3.4,14,Support,0,0
E71409,22,2.2,10603,,1,No,2,2.4,18,Sales,0,0
E72394,27,9.6,7419,1.0,1,No,5,4.6,36,Sales,0,0
E72117,39,5.2,4756,2.0,2,No,1,3.0,20,Operations,0,0
E70131,48,13.5,8929,1.0,4,Yes,1,1.4,14,Sales,1,1
E72010,30,2.8,8909,1.0,1,No,1,4.0,9,Engineering,0,0
E70595,49,5.2,7950,5.0,4,No,1,1.5,17,Engineering,0,0
E71709,37,10.0,7245,4.0,4,No,0,4.3,26,Sales,0,0
E70071,31,5.8,5524,3.0,1,No,3,1.8,20,Sales,1,1
E70663,44,1.4,4371,3.0,1,Yes,2,8.1,7,Sales,1,1
E72486,32,9.6,6764,,1,No,0,2.1,22,Management,0,0
E73696,51,2.2,7122,1.0,4,Yes,2,2.5,10,Operations,1,1
E71558,41,1.4,7541,5.0,1,No,0,3.8,11,Engineering,0,0
E70218,36,3.3,5087,5.0,4,No,1,9.7,13,Operations,0,0
E73500,46,8.2,6664,2.0,4,No,0,8.7,5,Support,0,0
E73995,42,11.5,3130,1.0,1,Yes,2,3.4,19,Engineering,1,1
E70341,22,5.8,6275,5.0,1,No,2,4.6,9,Sales,1,1
E70101,39,8.2,8891,2.0,4,No,1,9.8,63,Engineering,0,0
E73615,37,4.8,3926,5.0,2,No,1,0.4,7,Sales,0,0
E71015,55,6.1,6153,1.0,2,No,1,1.9,29,Sales,1,1
E70549,28,5.6,4651,4.0,2,No,1,7.4,10,Engineering,1,1
E73649,23,2.9,7245,1.0,3,No,1,1.1,25,Management,0,0
E72505,52,5.2,4802,5.0,2,Yes,2,2.4,11,Operations,0,0
E71787,47,12.4,6000,3.0,2,No,1,2.8,11,Support,0,0
E73439,21,5.3,2967,4.0,3,Yes,2,1.2,20,Support,1,1
E70129,32,8.4,4472,2.0,4,No,3,2.5,8,Management,0,0
E70521,33,7.8,5707,2.0,2,No,2,0.5,13,Sales,1,0
E71302,55,7.6,8746,5.0,1,No,1,1.1,22,Engineering,0,0
E72780,53,3.9,3250,4.0,3,No,1,5.6,18,Engineering,0,0
E73762,41,7.4,5281,2.0,1,No,1,4.7,27,Support,1,1
E71560,43,2.2,9275,1.0,3,No,2,1.4,11,Operations,0,0
E72424,26,5.5,4768,5.0,2,No,1,6.8,16,Engineering,0,0
E72632,50,3.3,6756,1.0,1,No,2,6.0,6,Sales,1,1
E70130,42,3.6,6100,1.0,3,No,2,3.1,1,Sales,0,0
E70081,57,2.0,2707,1.0,2,No,2,7.0,11,Management,0,0
E70322,43,14.1,2696,3.0,4,No,1,5.0,15,Support,0,0
E72209,26,3.1,5538,1.0,1,No,2,6.3,13,Operations,1,1
E73985,43,5.1,8900,3.0,3,No,0,1.6,15,Engineering,0,0
E73371,40,7.3,9276,,4,Yes,2,0.4,4,Engineering,0,0
E70072,34,2.1,5402,1.0,1,No,0,4.2,16,Operations,1,1
E71837,41,8.0,6483,1.0,2,No,0,5.2,4,Support,0,0
E73770,33,5.5,3114,3.0,1,No,2,6.6,17,Engineering,1,1
E73445,34,2.8,4320,3.0,3,No,1,2.6,9,Support,0,0
E72304,40,4.8,7706,1.0,4,No,2,3.4,12,Support,0,0
E70625,31,2.9,6383,2.0,2,Yes,0,5.8,5,Support,1,1
E70659,39,5.0,4861,1.0,2,No,2,4.1,9,Operations,0,0
E70920,43,2.2,9346,2.0,4,No,2,4.2,17,Operations,0,0
E72995,40,10.7,9075,4.0,4,No,1,1.4,7,Support,1,1
E72925,28,5.0,3301,3.0,1,Yes,2,1.5,16,Operations,1,1
E72299,46,1.2,5166,5.0,3,No,1,3.6,21,Engineering,0,0
E72883,62,6.8,11277,2.0,3,No,1,3.0,15,Support,0,0
E70599,21,2.2,8041,1.0,2,No,1,1.5,28,Engineering,1,1
E73886,31,3.3,3942,4.0,1,No,3,3.6,2,Operations,1,1
E70514,39,4.5,9455,5.0,2,No,2,1.6,16,Support,0,0
E70018,41,4.5,11920,2.0,3,No,0,7.1,15,Sales,0,0
E71946,48,7.2,4158,3.0,4,No,0,4.2,40,Support,1,1
E71746,45,8.4,4745,3.0,2,No,1,2.8,21,Engineering,0,0
E70580,52,4.7,4205,2.0,1,No,0,1.3,28,Sales,0,0
E73244,27,1.9,2883,5.0,3,Yes,0,1.2,21,Engineering,0,0
E73904,42,12.1,3820,2.0,1,Yes,1,3.1,18,Engineering,1,1
E73312,43,4.2,8377,3.0,3,Yes,2,1.7,4,Sales,0,0
E71901,42,3.8,11915,2.0,1,No,1,1.9,2,Operations,1,1
E72865,27,3.3,8404,3.0,4,Yes,2,1.0,16,Support,0,0
E70828,26,2.4,9086,1.0,2,No,4,1.1,16,Support,1,1
E72676,28,1.5,4041,4.0,4,No,1,3.1,7,Operations,0,0
E73727,28,1.6,4870,4.0,4,No,0,8.9,7,Sales,0,0
E70776,48,2.8,5839,5.0,1,Yes,1,0.8,5,Operations,1,1
E72040,35,4.7,3335,4.0,4,No,2,2.6,12,Support,0,0
E70551,29,7.6,5715,1.0,4,No,1,7.5,6,Management,0,0
E73148,31,1.4,2500,1.0,1,Yes,1,6.4,31,Support,0,1
E73692,24,15.5,6322,1.0,4,No,0,2.9,9,Engineering,0,0
E70782,44,5.2,6657,3.0,3,No,1,2.3,28,Operations,0,0
E72055,34,14.8,2614,2.0,2,No,1,4.3,4,Sales,0,0
E72663,22,2.9,3786,3.0,4,No,0,2.9,25,Engineering,0,0
E72621,38,1.4,6972,2.0,2,Yes,1,2.7,9,Support,1,1
E73472,37,4.7,3472,5.0,1,No,0,2.9,33,Support,0,0
E70857,49,4.4,5028,1.0,3,Yes,1,2.4,14,Engineering,0,0
E73177,25,5.2,5246,3.0,1,No,1,6.1,33,Support,0,0
E71553,21,2.0,3335,5.0,1,Yes,1,8.9,6,Management,0,0
E71346,51,4.5,3812,4.0,3,Yes,2,4.3,16,Sales,1,1
E72466,44,7.7,3762,1.0,3,Yes,1,7.5,16,Engineering,1,1
E72657,30,7.0,3714,3.0,2,No,1,2.3,10,Engineering,0,0
E72615,51,1.7,2500,4.0,2,No,0,1.9,14,Support,0,0
E72936,38,10.9,4004,1.0,2,No,3,8.5,21,Operations,0,0
E73168,32,1.8,7302,5.0,4,No,1,4.5,22,Management,0,0
E71519,36,8.0,8034,5.0,2,No,2,3.5,8,Operations,0,0
E72432,45,3.7,7993,3.0,1,No,3,0.8,53,Engineering,0,0
E72900,49,1.2,8630,4.0,2,Yes,1,3.1,12,Management,0,1
E71181,40,6.3,5894,5.0,3,No,2,15.0,7,Operations,0,0
E73887,46,2.0,4946,4.0,3,No,2,0.3,16,Sales,0,0
E72675,47,2.7,5615,2.0,2,Yes,1,3.8,15,Operations,0,0
E73407,50,2.3,2500,4.0,2,No,0,1.8,47,Support,1,0
E70377,21,2.4,6110,3.0,3,No,0,4.6,4,Operations,1,0
E73062,44,17.7,4516,3.0,3,Yes,1,3.8,41,Operations,0,0
E73302,35,5.1,3250,5.0,2,No,3,6.1,29,Support,0,0
E72604,49,2.3,7275,5.0,2,No,0,5.3,7,Engineering,0,0
E70112,36,3.3,7932,4.0,3,No,0,5.3,8,Sales,0,0
E71107,63,5.4,5732,3.0,2,Yes,1,0.7,28,Engineering,1,0
E70788,33,0.7,6489,3.0,4,Yes,2,2.7,20,Sales,0,0
E73803,33,6.1,5556,2.0,3,No,2,0.9,43,Management,0,0
E71082,36,4.9,5974,2.0,2,Yes,3,1.4,43,Sales,1,1
E70317,35,6.3,2963,3.0,4,No,0,4.1,28,Management,0,0
E70761,44,4.0,8245,2.0,3,No,3,2.4,9,Sales,0,0
E71987,32,1.1,3693,4.0,2,No,0,3.2,11,Engineering,1,1
E72678,46,7.3,10013,3.0,4,No,3,3.6,20,Engineering,0,0
E70294,34,5.5,9903,4.0,3,Yes,0,1.5,3,Support,0,0
E71266,33,4.0,4410,4.0,4,Yes,1,4.6,13,Operations,1,1
E70852,42,2.6,4911,4.0,1,Yes,1,7.0,2,Engineering,1,1
E72459,32,9.8,9436,1.0,3,No,0,1.1,8,Operations,0,0
E72779,42,12.0,7523,3.0,2,Yes,1,1.7,15,Sales,1,1
E71988,44,2.9,2861,5.0,2,No,1,1.8,10,Support,0,0
E70851,37,4.5,9246,4.0,2,No,1,2.2,9,Sales,0,0
E73237,23,7.1,7976,2.0,4,No,1,2.5,9,Support,0,0
E73893,47,3.5,4551,4.0,1,No,3,3.9,23,Engineering,0,0
E72038,39,5.9,4553,2.0,3,No,0,1.8,12,Engineering,0,0
E70102,38,12.4,7053,3.0,4,No,0,3.6,7,Support,0,0
E70301,56,1.8,10365,5.0,1,Yes,2,2.7,11,Sales,0,0
E70137,61,2.7,9019,2.0,4,No,0,6.2,9,Engineering,1,1
E72295,40,2.3,5246,1.0,3,No,1,3.0,30,Sales,0,0
E71255,47,3.8,2877,4.0,4,No,2,2.3,5,Sales,0,0
E72138,36,10.4,7458,3.0,1,No,2,3.0,5,Support,0,0
E71150,34,2.9,4409,2.0,2,No,1,3.1,7,Sales,0,0
E70819,31,5.4,4511,5.0,1,Yes,2,2.8,28,Operations,0,0
E72804,34,0.6,3452,1.0,4,No,0,13.0,8,Sales,1,1
E71672,48,0.6,3685,4.0,1,Yes,1,3.4,22,Engineering,0,0
E72464,33,2.8,2500,4.0,1,No,1,9.9,12,Support,0,0
E70226,35,2.8,4028,3.0,1,No,1,3.1,7,Engineering,0,0
E72577,41,12.0,6754,2.0,4,Yes,1,2.2,6,Support,0,0
E73917,43,6.7,5413,2.0,3,Yes,4,0.7,34,Sales,0,0
E70849,42,3.3,6575,4.0,4,No,2,1.7,21,Engineering,0,0
E71081,44,6.4,6620,4.0,2,Yes,1,3.7,13,Operations,0,0
E72287,23,0.7,8464,3.0,4,No,0,4.3,14,Support,0,0
E73360,42,3.2,5777,1.0,3,No,1,1.5,12,Engineering,0,0
E70337,35,1.0,5508,5.0,3,No,3,2.6,14,Support,0,0
E72006,49,3.2,7213,4.0,1,No,1,3.5,11,Operations,0,0
E70020,38,10.8,6924,2.0,4,No,0,1.4,8,Sales,0,0
E70075,48,6.7,8443,4.0,3,No,1,3.2,9,Sales,0,0
E72434,38,7.2,5963,5.0,4,No,2,1.8,8,Sales,0,0
E70155,38,4.8,7748,4.0,4,No,0,5.2,17,Operations,0,0
E73557,44,1.7,7699,2.0,4,Yes,0,1.9,12,Engineering,0,0
E72141,38,3.4,9520,1.0,1,No,1,2.7,16,Operations,1,1
E72416,41,2.8,5081,5.0,1,No,4,9.1,77,Engineering,0,0
E72873,46,8.8,9237,1.0,1,No,2,5.3,23,Support,0,0
