transaction_id,amount,hour,txns_last_hour,merchant_category,foreign_transaction,card_present,account_age_days,distance_from_home_km,is_fraud
T101365,21.86,11,2,ONLINE,1,0,1701,8.2,0
T105076,300.49,4,1,grocery ,0,0,1547,19.8,0
T103188,55.7,1,1,grocery,0,0,578,11.0,0
T101822,21.99,14,1,grocery ,0,0,824,270.2,0
T108607,172.34,5,0,Restaurant,0,0,1263,34.6,0
T105708,30.51,1,1,grocery,0,1,1716,7.6,0
T104543,8.78,21,0,grocery,0,0,1169,61.2,0
T100622,44.24,12,3,Grocery,0,0,1305,27.8,0
T106798,120.24,7,3,online,0,1,1612,88.6,0
T101845,22.56,10,0,gas,0,1,689,6.1,0
T105017,36.74,7,0,restaurant,0,0,1794,16.1,0
T107409,119.06,9,3,online,1,1,347,,0
T101733,23.71,17,0,online,0,0,1208,17.2,0
T104759,18.09,20,1,travel,0,1,2074,5.3,0
T103966,44.02,5,0,online,0,0,1535,9.1,0
T101958,16.7,19,6,gas,0,1,938,15.1,0
T101722,122.65,4,3,grocery,0,0,83,0.9,0
T102569,19.06,1,1,restaurant,0,1,567,42.2,0
T103177,3.78,7,1,travel,0,1,99,38.3,0
T100113,58.9,13,1,Electronics,0,1,2466,8.6,0
T105168,43.19,6,0,travel,0,0,1457,11.4,0
T107529,50.57,19,1,electronics,0,1,540,84.1,0
T102014,88.21,22,1,grocery,0,1,126,8.2,0
T107585,21.55,15,0,online ,0,1,1065,10.0,0
T105956,27.93,18,3,grocery,0,0,2384,6.0,0
T106404,17.03,11,3,electronics,0,1,1046,5.0,0
T102889,60.35,4,6,restaurant,0,0,2456,14.7,0
T103427,24.31,20,1,online,0,0,1592,11.7,0
T103232,51.43,16,0,travel,0,1,2174,6.3,0
T106870,40.87,4,2,online ,0,1,884,25.4,0
T106104,193.42,8,1,grocery,0,0,1493,11.9,0
T105397,22.7,23,1,grocery,0,0,1474,12.3,0
T105808,78.69,16,0,restaurant,0,0,2495,8.4,0
T102004,210.74,21,0,restaurant,0,1,609,4.1,0
T108385,137.62,7,0,gas,0,1,1950,84.6,0
T108880,26.97,15,0,Grocery,0,1,333,45.7,0
T101832,16.4,3,0,restaurant,0,0,1656,19.0,0
T101686,255.47,22,2,restaurant,0,1,927,5.4,0
T107283,85.64,4,2,Restaurant,0,0,1461,2.7,0
T101461,67.48,9,0,gas,0,1,1585,11.0,0
T107277,108.9,8,0,grocery,0,1,1261,26.6,0
T104654,71.77,20,2,grocery ,0,1,1340,20.9,0
T101328,31.23,20,4,Grocery,0,1,2000,8.5,0
T106525,28.55,10,0,restaurant,1,1,824,224.5,0
T106390,63.17,22,2,grocery,0,0,573,23.3,0
T101075,77.36,23,2,grocery,0,1,2355,10.1,0
T101617,81.04,4,0,grocery,0,0,202,75.8,0
T100531,9.63,17,0,travel,0,1,2421,51.7,0
T102373,160.46,20,0,gas,0,0,1346,24.7,0
T101998,50.53,18,2,online,1,1,331,41.9,0
T103729,91.07,8,1,grocery,0,0,2237,14.7,0
T104194,349.61,10,1,restaurant,0,0,1574,6.6,0
T102543,47.19,2,1,electronics,0,1,2230,8.4,0
T108382,43.15,12,1,restaurant,0,0,1870,100.8,0
T108975,49.4,4,0,Restaurant,0,0,2274,7.1,0
T106853,85.74,9,1,Electronics,1,0,2158,4.8,1
T105242,62.79,9,1,Gas,1,0,2160,4.8,0
T104778,19.06,3,3,restaurant,0,1,1237,63.1,0
T107496,35.68,5,1,gas,0,0,2185,16.0,0
T107627,56.56,2,0,Restaurant,0,1,29,38.2,0
T102630,22.92,17,1,online ,0,0,2486,3.6,0
T101050,17.63,19,1,gas,1,0,1895,12.4,0
T106247,61.57,21,2,electronics,0,1,2146,2.7,0
T108582,151.54,3,1,travel,0,0,1714,20.1,0
T103418,72.21,9,0,online,0,0,2180,42.9,0
T102472,22.73,11,0,electronics ,1,0,988,70.9,0
T108853,139.96,7,3,grocery,0,1,1032,189.2,0
T103928,51.59,5,0,gas,0,1,48,8.1,0
T105373,108.89,18,1,Gas,0,1,647,4.3,0
T105707,88.66,22,1,grocery,0,0,1257,9.6,0
T108916,38.34,17,0,Gas,0,1,2240,1.3,0
T103050,31.27,18,0,restaurant,0,0,1394,27.7,0
T107397,254.58,16,1,ONLINE,0,1,1947,19.3,0
T101420,50.58,21,0,restaurant,0,0,620,54.8,0
T106698,37.51,8,2,grocery,0,1,1290,9.2,0
T105756,281.02,3,2,online,0,0,2077,42.8,0
T105011,390.77,18,2,grocery,0,1,1697,30.2,0
T101682,65.26,4,0,online,0,1,2456,3.3,0
T103785,86.47,14,0,electronics,0,1,958,22.4,0
T105456,49.3,19,0,travel,0,1,1569,5.4,0
T104073,40.88,11,1,electronics,0,0,676,12.2,0
T108911,50.38,18,2,grocery,0,1,1689,5.2,0
T106336,28.68,4,2,electronics,0,1,1734,6.2,0
T104934,106.65,7,1,gas,0,0,2374,6.8,0
T107805,42.79,21,1,travel,0,1,485,30.2,0
T108187,87.81,2,0,online,0,1,251,7.3,0
T101585,62.13,19,1,online,1,1,2386,27.6,0
T107284,115.84,20,0,grocery,0,1,1805,10.6,0
T107842,46.62,13,0,grocery,0,1,449,135.9,0
T108633,12.47,10,0,restaurant,0,0,721,34.1,0
T104594,40.51,3,2,grocery,0,1,2124,12.0,0
T108827,11.32,14,0,gas,0,0,1096,5.6,0
T108066,33.05,17,1,Restaurant,0,1,1774,2.1,0
T108423,19.58,14,0,online,0,1,2079,11.0,0
T102875,13.88,21,0,grocery,0,0,647,49.4,0
T107451,77.15,17,1,Grocery,0,1,2090,6.1,0
T108862,46.95,23,3,grocery,0,0,1281,2.5,0
T101081,37.81,15,0,gas,0,1,579,13.1,0
T102574,20.3,7,0,gas,0,1,2151,6.0,0
T102924,148.78,4,0,restaurant,0,1,504,2.3,0
T101767,26.29,11,1,Grocery,0,0,1445,7.0,0
T108504,136.06,14,1,Electronics,0,0,311,2.7,0
T108616,44.88,5,0,restaurant,1,0,2116,2.3,0
T100198,128.68,16,0,travel,0,1,406,8.1,0
T100396,38.08,8,0,Gas,0,0,197,15.0,0
T101623,19.41,3,0,grocery ,0,1,2027,9.6,0
T106378,30.56,20,1,electronics,0,1,2083,4.5,0
T107364,71.51,22,3,Travel,0,0,1480,14.8,0
T107812,128.68,23,0,ONLINE,0,1,203,19.4,0
T100850,236.97,8,2,online,0,1,525,17.4,0
T105875,36.25,22,1,Gas,0,1,1593,4.8,0
T103673,96.7,1,1,gas,0,1,1038,36.5,0
T108884,168.42,7,2,online,0,0,240,53.0,1
T100771,26.19,19,1,Online,1,1,1817,7.4,0
T101407,205.72,22,1,electronics,0,1,1089,22.5,0
T104411,138.29,9,1,grocery,0,1,516,15.0,0
T104833,56.13,11,1,online,0,0,1556,680.9,0
T105324,74.6,10,0,online,0,0,523,74.4,0
T100146,58.08,7,0,Online,0,1,1621,33.4,0
T105425,41.95,19,3,Restaurant,0,1,885,108.4,0
T104902,26.82,14,0,gas,0,1,37,10.8,0
T101622,9.34,11,1,grocery,0,1,1067,7.1,0
T106519,221.83,15,2,gas,0,0,2098,1.7,0
T107411,24.89,5,0,gas,0,0,1816,7.7,0
T105067,47.48,19,2,grocery,0,1,2441,77.7,0
T100905,49.34,19,0,electronics,0,0,229,255.7,1
T107435,85.52,11,0,ONLINE,0,0,635,36.1,0
T102156,93.07,19,1,restaurant,0,0,1140,25.7,0
T102979,202.47,11,0,grocery ,0,1,906,33.9,0
T100295,57.6,3,1,grocery,0,1,1349,8.8,0
T106833,132.53,1,4,grocery,1,1,2352,18.0,0
T101440,120.02,10,2,electronics,0,0,1101,5.1,0
T100938,86.52,8,1,electronics,1,0,369,39.9,0
T101357,133.88,13,0,travel,0,1,1721,4.9,0
T105710,7.45,12,2,electronics,0,1,563,84.9,0
T108717,71.73,3,1,travel,0,0,1489,21.8,0
T101946,32.57,23,0,grocery ,0,0,1429,7.6,0
T105826,51.39,4,0,grocery,0,1,1131,10.5,0
T101061,42.82,23,1,grocery ,0,0,893,6.7,0
T106402,22.76,20,0,grocery,0,0,1655,8.3,0
T108818,15.37,20,6,ONLINE,0,1,1235,2.6,0
T105666,33.56,18,1,online,0,0,1211,7.2,0
T103281,26.0,16,3,grocery,0,1,489,29.5,0
T106254,21.43,3,1,restaurant,0,1,2333,10.6,0
T100940,140.68,16,1,Online,0,1,1298,9.0,0
T103771,22.26,6,1,grocery,0,1,1395,1.9,0
T100521,309.8,7,0,electronics,0,1,830,20.2,0
T108353,14.85,10,3,restaurant,0,1,1710,32.6,0
T101477,18.42,14,0,ONLINE,0,1,1989,2.7,0
T106150,143.33,20,0,online,0,0,1732,2.1,0
T103344,150.88,7,0,electronics,0,1,443,42.9,0
T105916,99.99,19,3,restaurant,0,0,170,43.4,0
T100849,2.98,10,0,grocery,0,0,1170,6.2,0
T107675,14.27,9,1,Electronics,0,0,1062,68.5,0
T108811,150.76,13,1,restaurant,0,1,2464,4.0,0
T107452,30.92,8,1,Gas,0,0,182,44.9,0
T108275,19.29,13,1,ONLINE,0,1,228,18.4,0
T100506,33.04,8,1,grocery,0,1,1568,10.3,0
T105852,85.58,11,2,online,0,0,884,11.4,0
T100175,101.85,8,3,Restaurant,0,0,10,4.9,0
T103674,8.93,13,1,gas,0,1,1265,51.4,0
T100477,80.3,3,0,gas,0,1,1270,21.1,0
T103919,41.6,16,2,grocery,0,0,2256,7.5,0
T103768,36.76,6,1,grocery,1,0,1031,1.6,0
T106214,116.55,17,1,travel,0,1,295,5.0,0
T108524,50.71,4,2,online,0,0,1807,32.8,0
T104506,13.81,16,1,online,0,0,488,9.7,0
T107643,48.03,19,1,grocery,0,1,1799,6.1,0
T102832,33.3,13,3,grocery,0,1,467,4.2,0
T101124,137.44,11,0,online,0,0,1577,35.0,0
T106202,40.75,22,2,online,0,0,248,2.9,0
T107455,80.61,7,2,restaurant,0,1,959,8.4,0
T102747,23.84,18,1,electronics,1,1,913,52.6,0
T100246,10.3,4,2,travel,0,0,61,53.3,0
T101927,154.79,9,0,grocery,0,0,429,111.9,0
T100115,17.63,2,1,grocery,0,1,98,3.2,0
T104316,18.74,1,0,gas,0,1,1146,22.5,0
T101048,238.21,23,0,travel,0,1,603,0.9,0
T104302,29.09,21,2,grocery,0,0,1217,26.6,0
T101253,33.43,7,0,online,0,0,2415,19.4,0
T108243,82.03,5,0,gas,0,0,509,17.2,0
T108860,20.07,19,0,grocery,0,1,2434,69.7,0
T102521,12.08,12,1,grocery,0,0,457,2.1,0
T108225,9.71,16,2,restaurant,0,0,566,42.2,0
T107418,30.6,16,0,grocery ,0,1,351,11.0,0
T108560,89.85,0,2,grocery,0,1,165,4.8,0
T100024,48.37,1,0,electronics,0,0,425,11.3,0
T108966,35.03,11,3,Travel,1,0,303,75.5,1
T100203,41.45,14,0,online ,0,0,1187,8.8,0
T103436,9.21,18,0,restaurant,0,0,889,20.1,0
T108710,25.53,8,4,Electronics,0,1,263,162.6,1
T108614,169.19,8,2,electronics ,0,1,1961,6.1,0
T102324,53.94,9,3,Restaurant,0,1,1489,5.3,0
T103948,145.69,23,0,online ,0,0,304,3.1,0
T104467,12.68,7,2,online,0,0,377,6.8,0
T108251,41.95,0,0,gas,0,1,665,20.6,0
T105299,97.97,6,1,travel,0,1,1552,26.2,0
T108731,28.52,21,1,Gas,0,1,2198,156.2,0
T101470,18.6,7,1,grocery,1,1,2166,10.3,0
T106592,38.28,7,3,gas,0,1,1938,7.5,0
T100954,140.98,7,1,Gas,0,1,2412,42.8,0
T100368,68.03,21,0,restaurant,1,1,1791,27.9,0
T102298,15.75,6,0,electronics,0,0,733,8.3,1
T101905,22.88,14,1,gas,0,1,1522,27.4,0
T101735,108.8,7,3,restaurant,0,1,97,35.5,0
T102870,9.08,17,1,restaurant,1,0,2405,2.6,0
T108389,44.75,8,0,travel,1,0,1736,11.1,0
T107023,86.94,16,0,online,0,1,305,12.3,0
T100739,13.95,20,2,gas,0,1,2099,18.7,0
T106524,374.89,6,1,electronics,0,0,370,2.1,0
T106991,88.43,11,2,online,0,1,133,16.3,0
T106160,67.2,14,1,grocery,0,0,880,1.2,0
T102023,82.62,7,0,electronics,0,0,1232,7.7,0
T107509,26.48,8,3,grocery,0,1,18,16.9,0
T103220,115.08,18,0,ONLINE,0,1,1677,35.1,0
T104671,109.98,0,1,travel,1,1,226,39.6,0
T103239,89.89,4,2,travel,0,0,1302,11.5,0
T102807,75.97,16,1,gas,0,0,1758,2.4,0
T105188,261.26,19,2,grocery,0,0,495,24.6,0
T102561,92.38,21,0,Gas,0,1,1674,2.7,0
T103778,124.81,23,1,Restaurant,0,0,2286,12.6,0
T101388,97.26,2,0,gas,0,1,1918,9.4,0
T106421,102.19,8,1,Online,0,1,985,6.8,0
T106296,9.16,2,3,online,0,0,723,6.3,0
T102683,187.86,16,0,online,0,0,949,63.2,0
T108339,25.72,11,3,gas,0,0,1588,44.9,0
T107560,40.86,2,2,restaurant,0,0,1761,62.1,0
T101160,59.41,14,0,travel,0,1,2390,8.9,0
T101274,32.31,10,1,Gas,0,1,1614,14.0,0
T100588,24.32,6,3,grocery,0,0,2259,5.0,0
T108755,37.15,3,0,grocery,0,0,82,8.5,0
T105934,18.16,14,0,grocery,0,1,1789,21.8,0
T103820,30.06,7,0,grocery,0,0,818,19.5,0
T104473,62.7,10,0,gas,0,0,1307,3.9,0
T106495,334.29,0,0,gas,0,1,1044,17.8,0
T102047,10.47,20,2,grocery ,0,0,2102,40.6,0
T105214,12.57,9,1,Gas,0,1,170,10.0,0
T100641,67.27,17,0,grocery,0,1,674,11.3,0
T108472,37.97,4,1,Gas,0,1,510,7.9,0
T108861,18.7,16,0,electronics,0,0,2147,5.2,0
T108454,133.23,0,2,grocery,0,0,2226,4.1,0
T105272,77.06,0,1,restaurant,0,0,1717,7.4,0
T102195,47.36,22,2,online,0,0,1768,91.1,0
T100367,38.74,2,0,gas,0,0,557,18.1,0
T105803,274.48,19,1,gas,0,1,1248,214.3,0
T107192,125.41,3,1,Restaurant,0,1,1488,6.9,0
T105926,18.26,10,1,online,0,1,304,2.8,0
T108163,20.09,2,1,online,0,1,1314,38.2,0
T106084,38.53,1,0,travel,0,1,482,2.4,1
T105474,36.64,10,1,gas,0,1,2023,53.5,0
T106930,14.34,8,3,online,0,1,2395,16.4,0
T101628,15.75,4,1,grocery,0,1,1390,28.2,0
T100577,15.32,0,4,electronics,0,1,958,13.5,0
T101020,136.38,7,1,online,1,1,592,12.9,0
T101054,23.08,14,1,travel,0,0,1082,14.2,0
T101710,32.03,11,0,grocery,0,1,666,1.1,0
T103455,27.31,17,5,online,0,0,1400,44.0,1
T102217,125.72,9,2,grocery,0,1,1772,53.6,0
T107826,196.58,6,1,grocery,0,1,1729,20.0,0
T105512,48.25,13,1,gas,0,0,2054,7.5,0
T102296,24.73,5,2,electronics,0,1,2162,5.2,0
T106359,23.1,7,1,electronics ,0,1,915,9.2,0
T105423,61.18,3,1,online,0,0,2321,6.9,0
T106781,70.56,1,1,online ,0,0,1964,6.7,0
T104855,6.09,14,3,travel,0,0,694,5.8,0
T107109,27.01,8,1,online,0,0,2169,12.3,0
T106634,136.29,5,2,grocery,0,1,1944,2.0,0
T100679,8.37,11,0,electronics,0,1,2184,12.2,0
T104729,5.64,14,1,grocery,1,1,2167,49.0,0
T103159,54.47,19,2,grocery,0,1,182,15.2,0
T101651,61.07,6,1,electronics,0,0,921,16.8,0
T108684,156.85,7,1,online,0,1,1537,15.0,0
T102218,67.4,7,0,online,0,1,2158,11.3,0
T103815,14.15,10,2,restaurant,0,1,846,152.9,0
T101873,52.61,15,3,restaurant,1,0,484,39.0,0
T107727,64.97,21,1,travel,0,0,1066,12.1,0
T106500,109.91,8,0,ONLINE,0,1,1747,23.7,0
T101031,84.2,18,1,grocery,0,1,1535,2.3,0
T103682,268.92,0,1,online,0,1,2351,7.0,0
T103959,26.88,18,2,online,1,0,478,20.3,1
T108340,124.43,23,2,grocery,0,1,2036,2.0,0
T101041,812.58,20,1,online,0,0,334,35.8,0
T100555,40.52,11,1,restaurant,0,1,1660,49.2,0
T102919,66.29,8,2,grocery,0,0,431,2.5,0
T103629,13.74,14,0,restaurant,0,0,2190,4.5,0
T107052,27.2,2,3,Restaurant,0,1,2356,44.5,0
T105178,102.66,0,4,grocery ,0,1,494,2.5,0
T103827,173.85,14,1,gas,0,0,1546,30.8,0
T106969,91.5,13,0,online,0,1,2120,1.2,0
T102206,33.75,23,1,grocery,0,0,2060,3.7,0
T104832,92.64,17,0,online,0,0,132,15.5,0
T106158,76.74,10,1,grocery,0,1,1610,11.1,0
T105607,283.17,12,1,online,0,0,1975,8.9,0
T106286,93.21,1,3,gas,0,0,450,14.1,1
T100869,10.01,6,2,travel,0,1,1609,25.5,0
T105652,13.45,23,2,Gas,1,0,235,3.9,0
T102960,35.59,19,1,grocery,0,0,1043,6.1,0
T100486,125.81,3,0,online,0,0,528,8.0,0
T107036,39.06,5,1,Gas,0,1,480,2.4,0
T105687,35.68,22,3,Gas,0,1,1300,74.8,0
T101300,160.19,11,0,travel,0,0,1475,12.5,0
T102135,88.69,8,0,grocery,0,1,1762,80.7,0
T104430,51.38,21,0,restaurant,0,1,1410,28.7,0
T104909,38.61,3,1,online,0,0,1259,7.0,0
T103569,20.51,12,0,gas,1,1,1292,23.3,0
T102877,12.01,9,1,Gas,1,0,1559,2.3,0
T103495,61.17,17,1,gas,0,0,2417,9.1,0
T106106,45.81,21,0,Travel,0,0,1188,18.9,0
T104752,51.26,10,0,gas,0,1,1593,9.3,0
T105651,7.65,0,0,travel,0,1,2101,8.2,0
T108681,73.09,2,1,online ,0,0,1582,18.3,0
T104293,25.07,1,1,gas,0,1,864,6.4,0
T102541,34.14,18,1,restaurant,1,1,1834,22.9,0
T107708,148.43,21,2,Gas,0,0,391,6.5,0
T101594,350.88,18,1,Grocery,1,1,369,67.4,0
T103540,152.46,19,2,ONLINE,0,1,94,1.9,1
T106131,131.36,17,1,Restaurant,0,0,814,1.1,0
T105049,172.06,22,0,grocery,0,1,1768,15.8,0
T103117,36.3,2,1,gas,0,0,2474,20.9,0
T104127,29.65,6,1,restaurant,0,1,2099,15.1,0
T107878,135.62,19,2,Grocery,0,1,279,15.1,0
T100451,36.56,22,3,Electronics,0,0,1470,41.6,0
T106031,94.16,16,3,gas,0,1,708,19.0,0
T106548,30.23,3,0,grocery ,0,0,626,2.5,0
T101139,449.92,14,2,gas,0,1,691,11.1,0
T108462,36.49,19,1,online,1,0,666,22.6,1
T105726,35.27,13,1,Grocery,0,1,2436,9.9,0
T101600,150.33,8,2,restaurant,0,1,1038,54.9,0
T101452,31.5,20,0,Grocery,0,0,502,7.5,0
T107844,11.6,5,0,electronics,0,0,193,10.6,0
T104014,144.22,17,0,gas,0,0,1644,1.4,0
T107245,104.46,7,1,online,0,1,68,4.8,0
T108967,59.52,18,0,restaurant,0,0,1740,12.7,0
T107269,15.36,6,0,online,0,1,131,35.3,0
T107114,13.12,15,2,gas,0,0,661,9.8,0
T104290,24.99,22,0,grocery,0,1,1887,134.6,0
T108936,31.33,15,2,Travel,0,0,1111,1.9,0
T108897,62.77,21,2,restaurant,0,0,640,155.8,0
T100500,14.07,9,1,travel,0,1,1991,6.4,0
T100660,92.02,4,3,Gas,0,0,1962,23.1,0
T101074,100.61,19,0,grocery,0,1,2159,0.4,0
T108210,71.12,17,1,Travel,0,0,1962,2.3,0
T103503,47.63,0,1,gas,0,1,1106,4.2,0
T100025,36.19,7,1,grocery,0,1,2459,0.2,0
T106790,24.54,21,3,online,0,1,715,5.3,0
T101102,147.81,10,0,grocery ,0,0,2137,52.9,0
T108285,212.66,23,0,online ,0,1,1202,1.6,0
T101745,29.8,2,0,Travel,0,0,568,29.1,1
T108895,136.23,4,0,electronics,0,1,1507,23.4,0
T106222,25.14,18,2,grocery,0,1,1711,24.0,0
T102909,35.6,3,1,restaurant,0,1,1201,2.7,0
T103225,139.04,18,0,online,0,0,95,12.5,0
T105837,28.69,21,2,grocery,0,1,1630,44.5,0
T105227,74.23,22,0,Travel,0,0,2136,3.9,0
T104322,19.03,20,0,grocery,0,0,636,29.9,0
T106056,129.23,22,0,grocery,0,0,875,1.9,0
T104828,45.38,11,0,grocery,0,1,674,3.6,0
T107773,53.71,21,1,ONLINE,0,1,23,2.4,0
T104259,60.5,21,0,grocery,0,0,1185,6.5,0
T106169,24.71,4,1,grocery,0,1,1876,8.2,0
T103921,367.57,7,0,gas,0,1,348,7.5,0
T108159,40.12,9,1,electronics ,0,1,1053,31.9,0
T100790,25.3,9,0,Restaurant,0,0,816,85.2,0
T100263,61.69,3,4,grocery,0,0,2370,2.9,0
T106119,128.09,0,2,Restaurant,0,0,631,151.6,0
T100111,14.26,17,0,ONLINE,0,1,552,5.2,0
T102002,24.27,11,0,restaurant,0,0,1290,4.5,0
T104244,22.32,12,1,electronics,0,1,1682,11.1,0
T104295,38.84,23,0,restaurant,1,1,81,17.5,0
T106304,67.92,7,1,Online,0,1,2462,18.1,0
T103386,42.71,3,3,gas,0,0,1920,26.2,0
T104024,117.22,6,0,electronics,0,1,339,21.9,1
T107026,143.15,19,0,gas,0,1,928,38.7,0
T101928,110.99,4,2,grocery,0,1,1010,6.4,0
T106484,202.3,13,1,restaurant,0,0,1973,15.4,0
T105097,20.23,20,1,online,0,0,761,5.8,0
T104480,69.44,9,2,grocery,0,0,2408,15.1,0
T103313,45.6,17,0,electronics,0,1,2434,6.1,0
T107480,30.53,2,0,gas,0,0,474,3.9,0
T102253,58.47,17,2,gas,0,1,315,3.1,0
T107039,120.43,23,0,online,0,0,1952,1.6,0
T105309,92.32,15,2,online,0,0,1741,8.4,0
T107997,33.33,16,1,online,0,0,2127,10.2,0
T107392,164.76,20,1,grocery,0,1,177,1.4,0
T104968,229.15,6,1,restaurant,0,1,2062,145.6,0
T108363,74.35,23,0,electronics,0,1,2325,12.6,0
T100983,11.3,6,0,restaurant,0,0,1977,13.0,0
T104485,17.66,8,1,Gas,0,0,818,0.7,0
T108373,21.55,9,2,electronics,0,0,311,17.6,1
T101348,68.78,3,1,online ,0,0,1904,105.1,0
T108885,75.76,3,3,gas,0,0,686,7.4,0
T104960,62.58,17,0,grocery,0,0,1795,71.9,0
T108164,8.13,2,0,travel,0,0,2234,3.3,0
T100067,72.32,17,2,Gas,0,0,447,3.5,0
T103325,74.61,14,0,gas,0,0,1871,13.6,0
T100498,47.75,19,0,gas,0,0,549,3.8,0
T108513,12.77,13,1,electronics,0,1,1886,62.1,0
T106940,126.56,18,0,restaurant,0,0,1852,15.7,0
T106246,22.16,10,1,gas,1,1,1622,9.8,0
T108649,166.66,7,1,travel,0,1,1096,6.1,0
T102332,41.19,22,1,gas,0,1,714,15.8,0
T104027,5.43,13,1,restaurant,0,1,1914,40.4,0
T108264,141.27,6,1,online,0,1,1237,20.5,0
T108365,12.02,19,2,electronics,0,0,1990,79.0,0
T101670,261.46,4,3,electronics,0,1,2170,4.9,0
T106816,16.93,10,0,Grocery,0,0,2068,30.7,0
T104554,168.23,16,3,electronics,1,0,776,20.5,1
T107899,11.3,10,0,Online,0,1,1232,4.2,0
T103322,51.73,11,2,electronics,0,1,1639,47.5,0
T102378,127.92,22,1,Travel,0,0,1738,87.4,0
T102868,176.16,15,3,restaurant,0,1,1743,19.8,0
T106999,17.72,11,0,Electronics,0,1,70,44.5,0
T108161,15.36,12,1,grocery,0,1,1597,24.7,0
T104634,6.64,5,1,gas,0,1,2459,5.8,0
T104837,118.43,12,0,restaurant,0,1,258,22.0,0
T106539,75.34,1,1,gas,0,0,2468,36.5,0
T102886,97.42,2,1,online,0,1,1443,9.3,0
T106357,112.68,20,4,restaurant,0,0,2223,27.7,0
T103826,21.16,3,0,grocery,0,0,504,20.1,1
T102053,71.2,20,0,grocery,0,0,823,157.5,0
T108098,139.17,14,0,restaurant,0,1,1142,21.5,0
T105004,15.09,12,1,restaurant,0,0,1554,1.1,0
T105571,23.4,6,1,restaurant,0,1,1788,6.6,0
T103453,335.26,18,1,travel,0,1,1372,,0
T105303,65.63,10,0,gas,1,1,2343,23.0,0
