customer_id,recency_days,frequency,monetary,tenure_months,email_opens_90d,prior_responses,age,responded
C42663,230,2,320.0,65,2,1,28.0,0
C42136,309,2,587.0,54,2,0,60.0,0
C42746,263,3,312.0,65,2,0,61.0,0
C40384,20,26,1961.0,60,49,2,47.0,1
C44183,40,6,387.0,9,13,1,47.0,0
C43748,22,7,407.0,4,7,0,22.0,0
C40603,27,30,3047.0,63,22,4,33.0,0
C41854,50,9,664.0,35,5,2,37.0,0
C42935,286,4,332.0,70,3,0,42.0,0
C41364,130,12,1082.0,56,14,2,35.0,0
C42657,186,5,535.0,47,2,1,46.0,0
C43540,32,4,182.0,6,11,1,41.0,0
C41530,75,8,1082.0,60,11,1,61.0,0
C43306,37,5,327.0,15,4,1,46.0,0
C42062,69,4,1077.0,37,13,1,44.0,0
C40392,7,18,2828.0,50,31,5,40.0,1
C41352,75,12,1092.0,42,11,1,23.0,1
C40208,6,27,2360.0,57,24,1,57.0,0
C43253,36,7,138.0,1,15,1,40.0,0
C43429,42,9,223.0,16,10,1,29.0,0
C40475,20,29,2110.0,68,40,6,47.0,0
C41794,32,7,832.0,54,10,1,44.0,0
C42447,136,3,311.0,57,1,0,48.0,0
C43116,218,2,440.0,52,2,0,48.0,0
C42438,352,6,395.0,64,3,0,56.0,0
C41056,121,5,1341.0,44,9,1,51.0,0
C42965,317,4,421.0,60,4,0,74.0,0
C41903,118,15,666.0,52,15,1,42.0,0
C43478,32,4,356.0,2,12,1,36.0,1
C42939,374,0,274.0,57,2,0,59.0,0
C40121,17,22,2431.0,81,44,4,45.0,1
C41336,26,20,1284.0,43,10,1,48.0,0
C43132,381,6,403.0,65,2,0,44.0,0
C40857,14,23,,61,38,2,54.0,1
C41916,114,18,1304.0,48,16,1,54.0,0
C43722,30,5,160.0,3,7,2,18.0,0
C40982,19,13,2250.0,75,17,7,47.0,0
C40597,18,19,3117.0,56,34,3,31.0,1
C41990,102,13,1357.0,39,11,0,40.0,0
C40935,13,30,2935.0,53,23,3,38.0,1
C40954,18,13,2147.0,62,37,6,42.0,1
C43739,30,9,203.0,1,16,0,27.0,1
C41343,91,7,1600.0,56,18,0,53.0,0
C44162,34,6,423.0,6,8,0,24.0,0
C43678,14,3,186.0,1,10,1,45.0,0
C41228,87,14,1165.0,56,15,0,43.0,0
C42968,219,1,371.0,58,2,0,72.0,0
C43973,54,6,255.0,5,9,3,40.0,0
C42247,299,2,380.0,43,5,0,45.0,0
C41150,80,5,1140.0,43,11,1,45.0,0
C41575,59,14,1143.0,51,15,0,50.0,0
C43038,418,3,586.0,63,2,1,51.0,0
C40529,15,25,1611.0,58,42,2,35.0,1
C40258,14,25,2369.0,72,38,4,57.0,1
C43110,157,3,417.0,60,1,0,53.0,0
C42055,88,15,609.0,53,16,1,38.0,0
C43857,57,6,346.0,12,9,1,21.0,0
C43787,36,4,243.0,11,11,0,38.0,0
C42672,359,3,514.0,62,0,0,35.0,0
C42435,388,5,397.0,52,2,0,47.0,0
C42352,305,2,470.0,60,2,0,57.0,0
C42654,436,3,286.0,52,1,0,53.0,0
C42545,135,5,640.0,56,1,1,63.0,0
C43018,273,2,216.0,68,3,1,61.0,0
C40846,25,32,3292.0,74,53,4,28.0,1
C40524,18,8,2182.0,81,24,2,46.0,1
C41412,72,11,1342.0,43,8,0,42.0,0
C41459,50,11,640.0,48,16,0,55.0,0
C43420,44,6,315.0,4,7,2,52.0,0
C41303,23,11,383.0,51,13,3,46.0,0
C41521,78,12,,54,9,0,49.0,0
C43481,42,6,286.0,1,12,1,36.0,1
C43029,400,3,553.0,71,4,0,52.0,0
C42618,248,5,341.0,56,2,2,47.0,0
C43647,31,2,436.0,1,7,0,18.0,0
C40998,13,30,2570.0,66,25,3,46.0,1
C41734,41,8,994.0,38,17,2,59.0,0
C40527,10,21,3150.0,54,15,2,44.0,0
C41221,85,16,958.0,51,10,0,31.0,0
C41972,88,14,1103.0,50,15,1,49.0,0
C43932,29,9,291.0,1,11,0,26.0,0
C42334,317,2,421.0,68,0,0,46.0,0
C42318,300,3,527.0,70,0,0,38.0,0
C43741,25,5,200.0,1,11,0,18.0,1
C40171,14,12,1923.0,62,15,2,54.0,0
C40599,16,17,1878.0,58,13,4,53.0,0
C41347,140,11,1055.0,40,12,1,50.0,0
C42279,258,3,547.0,60,3,0,68.0,0
C40586,23,27,2226.0,68,32,3,37.0,1
C44007,24,4,243.0,1,11,0,26.0,0
C41492,89,4,784.0,44,15,0,41.0,0
C40275,20,26,2234.0,60,38,3,54.0,0
C40549,11,36,2001.0,54,20,1,42.0,0
C41157,72,5,1400.0,48,15,0,52.0,0
C43639,43,8,466.0,1,8,2,18.0,0
C41755,66,16,1261.0,60,12,2,54.0,0
C42187,302,2,368.0,57,3,0,57.0,0
C40110,25,8,2681.0,70,26,4,,0
C42018,51,12,790.0,45,11,1,46.0,0
C41111,64,12,713.0,44,7,0,44.0,0
C43343,38,9,327.0,3,10,1,33.0,0
C40280,11,18,2292.0,62,20,2,47.0,0
C40127,19,18,1922.0,66,35,8,34.0,1
C42303,229,4,461.0,59,1,0,39.0,0
C43716,33,7,325.0,6,12,0,41.0,0
C42161,411,2,467.0,50,3,0,39.0,0
C44033,18,8,204.0,4,3,0,29.0,1
C40301,18,19,2472.0,68,31,2,41.0,0
C41061,55,11,934.0,46,6,1,45.0,0
C42513,347,3,404.0,56,2,0,43.0,0
C43368,29,4,416.0,3,5,1,18.0,1
C43028,200,3,567.0,66,1,1,46.0,0
C41298,19,3,1101.0,52,15,5,45.0,0
C44146,41,6,226.0,2,5,1,,0
C41128,90,12,1070.0,47,17,2,40.0,0
C43612,41,3,416.0,15,9,3,18.0,0
C42271,500,4,332.0,55,1,1,38.0,0
C41146,80,14,1246.0,58,15,1,50.0,0
C43405,24,3,467.0,9,6,0,32.0,0
C42288,291,4,360.0,59,4,0,68.0,0
C40363,11,14,2511.0,66,45,0,40.0,0
C42736,186,2,241.0,53,3,0,55.0,0
C43351,40,6,353.0,7,6,0,20.0,0
C41288,119,12,884.0,56,11,0,42.0,0
C41087,86,19,1139.0,50,13,0,51.0,0
C40085,17,33,1815.0,66,22,5,48.0,1
C43856,49,7,126.0,7,11,0,18.0,0
C44074,34,5,148.0,1,8,1,51.0,0
C41585,118,10,1388.0,47,19,2,48.0,0
C40585,19,21,2159.0,67,26,7,38.0,0
C42130,313,4,467.0,55,2,0,45.0,0
C41172,39,7,1045.0,48,14,1,59.0,0
C41511,94,9,1083.0,51,3,1,64.0,0
C40473,15,9,2811.0,57,27,3,47.0,0
C41635,112,14,1677.0,46,17,2,38.0,0
C42697,208,1,258.0,52,4,0,39.0,0
C42461,203,3,472.0,51,2,0,58.0,0
C42837,206,3,472.0,68,2,1,54.0,0
C40279,16,31,2734.0,59,41,4,27.0,1
C42786,220,0,108.0,70,4,0,80.0,0
C43945,26,8,262.0,3,8,1,29.0,0
C42124,274,3,445.0,56,3,1,52.0,0
C43706,26,9,282.0,13,13,0,19.0,0
C43269,33,3,401.0,1,12,1,22.0,1
C41269,92,14,1285.0,51,26,0,47.0,0
C40755,22,11,2117.0,68,13,1,46.0,0
C40957,21,24,1582.0,54,31,2,28.0,1
C42835,239,3,538.0,67,3,0,46.0,0
C41394,74,8,938.0,44,8,4,48.0,0
C41036,92,3,831.0,45,7,0,58.0,0
C42156,433,5,457.0,66,2,0,54.0,0
C43468,37,5,322.0,1,9,1,28.0,0
C43385,44,8,227.0,1,7,2,25.0,0
C42612,274,3,,57,3,0,33.0,0
C44169,40,6,406.0,6,7,1,26.0,0
C40732,25,31,1103.0,55,28,1,42.0,0
C43983,53,2,215.0,1,11,1,31.0,0
C40729,22,13,1745.0,54,19,1,36.0,0
C42655,500,5,252.0,53,3,0,64.0,0
C41383,74,13,481.0,54,9,5,42.0,0
C40464,13,23,1715.0,69,36,1,47.0,0
C43104,341,4,127.0,60,2,0,60.0,0
C41002,44,14,1016.0,47,10,4,35.0,0
C44152,26,4,295.0,11,15,1,30.0,0
C43012,235,4,,50,2,0,33.0,0
C40570,19,23,2756.0,58,37,5,33.0,1
C43247,31,4,376.0,2,11,1,41.0,0
C43202,31,4,407.0,4,9,1,39.0,0
C41815,91,8,1248.0,31,17,2,66.0,0
C40798,23,24,3225.0,62,23,3,30.0,0
C40230,18,23,1487.0,55,34,3,19.0,1
C40674,17,18,1618.0,66,40,2,35.0,1
C41426,96,16,518.0,40,18,3,38.0,0
C41281,86,12,946.0,36,6,2,56.0,0
C44189,40,5,180.0,9,6,0,59.0,0
C41182,89,15,1060.0,48,12,2,46.0,1
C44111,31,5,262.0,6,12,0,39.0,0
C43635,35,5,327.0,13,15,0,24.0,0
C42702,241,2,408.0,69,2,0,51.0,0
C40313,22,6,2142.0,44,42,4,42.0,1
C43352,50,7,247.0,2,8,0,29.0,1
C41624,103,7,1400.0,35,7,0,47.0,0
C43942,32,2,383.0,1,14,0,25.0,0
C42769,200,2,401.0,69,3,1,54.0,0
C40155,16,22,2431.0,61,19,4,40.0,1
C41537,81,12,799.0,42,21,1,47.0,0
C40466,19,16,2352.0,51,20,1,29.0,0
C42478,260,2,341.0,51,1,1,55.0,0
C43298,28,6,230.0,1,14,0,26.0,0
C43836,16,9,212.0,3,11,2,31.0,0
C43438,15,5,284.0,3,13,1,18.0,0
C41507,94,13,827.0,41,19,1,50.0,0
C44026,53,6,326.0,1,12,0,33.0,1
C42195,330,2,640.0,49,3,0,57.0,0
C42910,162,4,471.0,50,3,1,63.0,0
C43968,21,6,316.0,12,11,0,18.0,0
C40277,8,15,2210.0,64,18,3,44.0,0
C43769,13,3,214.0,1,12,0,30.0,1
C43004,281,3,586.0,64,2,0,79.0,0
C41970,64,8,899.0,48,16,1,45.0,0
C43493,44,7,286.0,2,12,1,26.0,0
C42897,198,3,311.0,57,2,1,60.0,0
C43192,43,9,217.0,1,6,1,51.0,0
C41485,84,16,849.0,40,15,2,43.0,1
C40642,14,33,3416.0,58,18,3,47.0,1
C41134,51,8,1197.0,45,10,0,41.0,0
C40491,12,21,2515.0,62,26,5,52.0,1
C42176,217,6,234.0,60,0,0,52.0,0
C41672,78,5,765.0,51,7,2,30.0,0
C40502,22,22,2414.0,63,25,3,47.0,1
C40263,18,20,2767.0,56,29,2,46.0,1
C43918,34,5,286.0,5,8,0,19.0,0
C40748,16,27,2281.0,65,18,2,41.0,1
C44191,37,5,285.0,9,6,1,32.0,0
C43044,245,0,508.0,76,0,0,55.0,0
C43574,40,6,367.0,3,12,1,37.0,0
C40617,22,23,1493.0,69,33,3,30.0,0
C41888,77,8,615.0,49,12,0,61.0,0
C43356,25,7,306.0,26,7,0,23.0,0
C42945,240,3,388.0,52,1,0,51.0,0
C40122,22,16,1603.0,60,21,3,43.0,1
C43140,315,5,509.0,45,3,0,53.0,0
C42805,227,2,588.0,47,1,0,62.0,0
C42997,331,2,350.0,66,2,0,29.0,0
C43073,107,2,584.0,60,2,0,53.0,0
C43236,38,7,131.0,2,11,2,33.0,0
C43550,56,4,150.0,5,9,1,18.0,0
C40892,15,29,2182.0,60,20,2,53.0,1
C43714,23,5,306.0,9,5,1,43.0,0
C41284,90,10,331.0,45,15,0,50.0,0
C42784,111,2,575.0,52,1,0,57.0,0
C40885,12,16,1962.0,71,31,3,32.0,1
C40477,18,25,3012.0,57,19,3,49.0,0
C44054,38,4,198.0,6,9,1,25.0,0
C41791,69,10,919.0,49,23,1,32.0,1
C42233,442,3,536.0,61,2,0,53.0,0
C41886,85,10,,39,8,0,57.0,0
C40743,18,22,2484.0,66,31,0,37.0,0
C42216,311,5,251.0,53,2,0,67.0,0
C40095,12,23,2951.0,62,21,2,28.0,0
C41462,106,8,656.0,55,14,1,50.0,0
C40391,18,24,2315.0,47,42,2,45.0,1
C40370,1,34,1906.0,56,25,6,50.0,1
C43270,27,3,255.0,6,14,1,39.0,0
C40103,11,7,1922.0,56,30,3,49.0,0
C41900,54,14,1223.0,43,9,0,41.0,0
C43901,23,8,312.0,7,9,1,39.0,0
C40282,16,22,1918.0,64,30,3,41.0,0
C41367,94,12,841.0,40,16,1,33.0,0
C42294,293,3,408.0,59,2,0,57.0,0
C40576,26,13,2001.0,70,34,2,43.0,0
C43465,36,10,322.0,1,11,1,39.0,0
C42363,326,1,530.0,64,3,1,59.0,0
C40928,13,17,1988.0,59,43,4,40.0,1
C43641,24,6,319.0,13,10,0,18.0,1
C40875,16,25,3635.0,53,38,1,36.0,1
C42978,452,3,526.0,59,3,0,67.0,0
C41805,70,10,977.0,49,14,1,37.0,0
C42583,437,3,535.0,49,2,1,53.0,0
C40371,19,20,,71,26,1,46.0,0
C43570,46,3,284.0,7,8,0,34.0,0
C41558,95,14,975.0,36,23,4,43.0,1
C40004,23,29,1910.0,53,29,3,39.0,1
C41457,61,12,1000.0,39,9,1,50.0,0
C41161,79,12,861.0,42,18,1,43.0,0
C41640,61,8,1593.0,50,13,3,40.0,1
C43779,40,5,266.0,15,6,1,18.0,0
C41104,96,10,1091.0,33,23,0,44.0,0
C42112,376,0,335.0,67,3,1,49.0,0
C41830,82,10,605.0,43,12,3,53.0,0
C43486,41,9,311.0,19,11,0,29.0,0
C40952,18,28,2383.0,60,34,2,25.0,1
C42328,371,5,473.0,61,3,0,67.0,0
C40810,19,21,2577.0,64,36,5,42.0,1
C41746,101,11,1114.0,38,13,3,40.0,0
C40236,19,16,2255.0,70,37,2,38.0,1
C41330,74,13,1001.0,42,6,1,43.0,0
C40505,23,25,2004.0,72,21,5,49.0,1
C43814,28,7,372.0,2,9,1,42.0,0
C40683,18,27,2110.0,63,35,2,43.0,0
C41850,85,11,940.0,47,15,0,46.0,0
C44158,17,7,290.0,2,12,1,,0
C41062,60,6,1312.0,40,21,0,45.0,0
C42040,85,6,921.0,52,15,1,54.0,0
C41127,62,10,1035.0,44,18,0,41.0,0
C43337,37,5,374.0,12,9,1,34.0,0
C42407,263,0,449.0,34,2,1,43.0,0
C42923,404,4,454.0,59,2,0,50.0,0
C41470,74,12,808.0,50,15,2,41.0,1
C44099,42,9,527.0,2,11,1,37.0,0
C41398,89,6,1091.0,46,10,1,62.0,0
C41508,69,9,990.0,40,13,1,55.0,0
C40595,10,21,2629.0,80,49,4,39.0,1
C44100,30,7,245.0,1,8,2,42.0,0
C42927,225,3,400.0,55,0,1,64.0,0
C41209,113,14,438.0,51,16,2,68.0,0
C41254,94,15,964.0,56,28,1,55.0,1
C42381,370,3,453.0,58,4,0,67.0,0
C40663,24,12,2093.0,48,33,0,51.0,0
C41504,59,6,1284.0,49,6,0,32.0,0
C43460,35,8,,18,7,2,30.0,0
C40131,25,24,2528.0,60,36,4,52.0,1
C42520,317,2,556.0,55,2,1,38.0,0
C40839,19,21,2484.0,61,29,4,48.0,1
C42074,78,9,531.0,42,18,0,46.0,0
C40071,20,31,2663.0,69,34,3,55.0,1
C41847,89,13,916.0,45,15,1,36.0,0
C42717,149,4,482.0,56,2,1,52.0,0
C41116,74,12,1009.0,54,6,1,50.0,0
C42413,309,4,422.0,55,0,0,63.0,0
C42525,208,2,420.0,61,2,2,70.0,0
C41322,76,15,943.0,45,5,0,34.0,0
C41939,88,13,923.0,42,11,1,51.0,0
C40102,17,15,3942.0,64,32,6,25.0,1
C40101,26,24,1730.0,57,38,3,18.0,0
C41559,94,12,1010.0,51,11,1,44.0,0
C41602,82,13,286.0,38,6,1,53.0,0
C43454,13,7,413.0,4,15,1,25.0,0
C40488,24,23,1884.0,50,29,3,50.0,0
C43442,38,6,379.0,1,10,0,36.0,0
C40919,17,33,1899.0,68,26,2,37.0,0
C40955,16,22,2022.0,60,37,2,42.0,1
C40385,20,31,2674.0,57,30,6,45.0,1
C40460,28,16,2498.0,59,44,4,37.0,1
C43601,40,4,324.0,9,10,3,37.0,0
C41610,38,17,977.0,53,4,1,43.0,0
C40556,26,12,1556.0,66,43,2,36.0,0
C42588,147,4,715.0,63,4,1,58.0,0
C43744,22,5,329.0,1,12,0,32.0,0
C41720,81,7,466.0,46,9,0,35.0,0
C40538,23,38,2886.0,57,22,1,47.0,0
C40130,15,31,1965.0,61,15,5,50.0,0
C40081,22,30,2806.0,66,26,7,46.0,1
C43558,35,7,309.0,6,13,1,18.0,0
C40787,13,38,3441.0,56,24,4,39.0,1
C40458,20,23,2330.0,73,26,1,47.0,1
C40334,16,15,1642.0,69,40,2,43.0,0
C43139,271,2,260.0,58,1,0,44.0,0
C41162,106,7,984.0,44,13,1,57.0,1
C41479,114,13,962.0,36,15,0,58.0,0
C42602,407,2,336.0,62,1,0,48.0,0
C43531,24,6,186.0,6,13,2,18.0,0
C41685,46,9,912.0,43,11,0,52.0,0
C42164,277,2,314.0,62,3,0,46.0,0
C40072,23,22,2623.0,58,22,3,49.0,1
C43924,23,7,227.0,6,12,0,32.0,0
C43401,20,10,331.0,9,10,1,45.0,0
C41077,61,10,923.0,39,16,1,54.0,0
C42457,379,2,625.0,60,2,1,39.0,0
C43896,27,6,241.0,1,12,1,33.0,0
C43434,34,7,272.0,1,15,1,27.0,0
C43499,24,9,392.0,5,11,0,21.0,0
C40312,27,36,2124.0,70,27,6,37.0,1
C44134,29,3,372.0,6,6,0,43.0,0
C42131,406,3,216.0,57,0,0,65.0,0
C43870,22,10,338.0,10,12,0,35.0,0
C40773,18,35,1655.0,60,45,1,25.0,1
C40018,16,15,1469.0,67,30,3,44.0,1
C42769,200,2,401.0,69,3,1,54.0,0
C41709,99,16,649.0,44,14,3,60.0,1
C43354,38,8,291.0,9,10,1,21.0,0
C42697,208,1,258.0,52,4,0,39.0,0
C41130,114,9,931.0,41,16,1,47.0,0
C44023,33,8,312.0,12,11,1,38.0,0
C42400,411,1,638.0,54,3,1,56.0,0
C40521,16,24,1467.0,70,41,0,54.0,1
C40241,24,25,1134.0,61,34,1,37.0,1
C43676,35,2,318.0,1,5,4,35.0,0
C42689,208,2,351.0,64,1,1,34.0,0
C42961,500,0,464.0,65,1,0,56.0,0
C41957,110,18,651.0,54,23,1,38.0,0
C40884,23,24,3648.0,60,15,3,37.0,1
C40964,22,25,3185.0,79,30,4,20.0,1
C41998,60,12,809.0,33,11,1,50.0,0
C43898,38,7,352.0,14,14,2,34.0,0
C41015,81,7,798.0,43,12,1,52.0,0
C43784,45,6,287.0,2,12,0,33.0,0
C42475,297,3,542.0,63,2,0,74.0,0
C43436,25,6,195.0,2,6,0,25.0,0
C43806,33,5,328.0,1,5,0,20.0,0
C42411,235,3,547.0,58,4,0,41.0,0
C43359,45,4,201.0,2,8,2,40.0,0
C42648,191,2,465.0,53,1,1,51.0,0
C42892,302,4,303.0,63,0,0,53.0,0
C42052,115,7,695.0,45,16,0,38.0,0
C42284,332,1,351.0,64,3,1,39.0,0
C42287,282,5,347.0,62,3,2,59.0,0
C42853,203,5,310.0,64,1,1,42.0,0
C43209,40,7,264.0,9,0,1,33.0,0
C42946,361,3,407.0,55,2,0,73.0,0
C41675,76,11,704.0,55,14,2,48.0,0
C40582,26,26,1615.0,67,27,5,51.0,1
C43215,44,7,260.0,1,10,2,26.0,0
C42455,423,3,478.0,43,2,0,55.0,0
C44020,40,6,339.0,1,8,0,44.0,0
C41816,85,13,1187.0,43,13,1,44.0,0
C40261,16,10,2085.0,56,33,2,38.0,1
C40700,24,12,1568.0,74,34,3,49.0,1
C43193,60,7,374.0,6,6,1,18.0,0
C40112,16,28,1260.0,69,14,4,44.0,0
C41123,116,6,1340.0,47,13,1,48.0,1
C41893,58,14,1119.0,55,13,0,42.0,0
C42992,168,3,350.0,48,1,1,66.0,0
C40317,10,21,1105.0,72,18,5,33.0,1
C40842,17,21,1909.0,67,37,4,31.0,1
C43382,35,4,305.0,18,7,1,20.0,0
C41218,66,8,852.0,44,22,3,35.0,0
