customer_id,month,tenure_months,monthly_usage_gb,support_tickets,add_ons,monthly_charges,price_increase,churned
C100047,0,0,34.5,1,2,74.23,0,1
C100048,0,55,51.3,2,0,59.08,0,0
C100049,0,0,41.5,2,1,78.05,0,0
C100050,0,17,77.7,1,0,81.03,0,0
C100051,0,51,33.6,0,1,71.85,1,1
C100052,0,44,58.4,2,1,30.59,0,0
C100053,0,2,30.0,2,2,104.21,0,0
C100054,0,10,82.3,0,4,67.78,0,0
C100055,0,21,45.8,1,2,64.1,0,0
C100056,0,20,64.5,1,2,91.41,0,0
C100057,0,51,45.0,1,0,52.79,0,0
C100058,0,7,59.7,4,0,102.41,0,1
C100059,0,57,43.1,1,0,115.73,0,0
C100060,0,23,37.4,1,3,57.17,0,0
C100061,0,59,50.2,2,4,53.39,0,0
C100062,0,40,30.0,3,1,69.26,0,0
C100063,0,34,51.6,1,0,83.39,0,0
C100064,0,20,43.9,1,3,27.23,0,0
C100065,0,51,51.7,2,0,47.86,0,0
C100066,0,51,65.3,0,2,66.04,0,0
C100067,0,54,46.1,0,0,90.02,0,0
C100068,0,40,45.1,0,0,60.07,0,0
C100069,0,44,57.2,0,2,59.4,0,0
C100070,0,32,45.6,0,1,63.6,0,0
C100071,0,44,54.9,0,4,22.96,0,0
C100072,0,14,48.1,1,0,73.18,0,0
C100073,0,50,49.1,1,2,35.28,0,0
C100074,0,21,56.0,1,2,62.55,0,0
C100075,0,44,26.5,1,0,64.95,0,0
C100076,0,0,35.2,2,0,47.84,0,1
C100077,0,22,47.5,2,0,119.93,0,0
C100078,0,16,56.9,1,1,82.15,0,0
C100079,0,60,58.6,3,0,57.64,0,0
C100080,0,72,67.3,3,1,84.81,0,0
C100081,0,4,65.6,2,1,46.73,0,0
C100082,0,29,44.8,2,1,63.95,0,0
C100083,0,49,80.5,1,1,57.73,0,0
C100084,0,31,52.1,0,2,71.99,0,0
C100085,0,65,45.6,1,1,69.54,0,0
C100086,0,29,48.4,2,1,64.61,0,0
C100087,0,51,45.2,0,1,48.39,0,0
C100088,0,58,53.7,1,1,30.2,0,0
C100089,0,23,70.4,1,2,83.02,0,0
C100090,0,21,64.5,0,0,86.43,0,0
C100091,0,33,43.6,1,2,52.61,0,0
C100092,0,15,61.7,0,3,64.27,0,0
C100093,0,32,5.5,2,2,72.77,0,0
C100094,0,19,88.0,0,0,63.29,0,0
C100095,0,28,44.9,0,3,72.77,0,1
C100096,0,41,40.9,0,1,96.78,0,0
C100097,0,22,46.2,1,4,111.65,0,0
C100098,0,0,71.8,0,1,58.49,0,0
C100099,0,0,39.7,2,3,68.24,0,1
C100100,0,27,58.0,1,1,107.66,1,0
C100101,0,4,45.6,0,1,46.97,0,0
C100102,0,48,39.4,3,1,86.65,0,1
C100103,0,0,56.4,1,2,49.15,0,0
C100104,0,36,79.4,2,3,55.6,0,0
C100105,0,58,15.8,1,2,62.84,0,0
C100106,0,16,52.8,1,2,66.83,0,1
C100107,0,29,65.5,0,2,72.62,0,0
C100108,0,23,15.5,4,3,70.64,0,1
C100109,0,32,38.6,4,1,57.21,0,1
C100110,0,56,19.4,2,2,41.6,0,0
C100111,0,24,44.0,1,2,90.67,0,1
C100112,0,41,58.9,4,2,70.44,0,0
C100113,0,45,42.0,2,1,55.1,0,0
C100114,0,26,67.9,0,2,79.45,0,0
C100115,0,34,55.6,1,3,57.86,1,0
C100116,0,21,69.1,1,1,69.94,0,0
C100117,0,30,49.2,2,3,62.79,0,0
C100118,0,26,30.0,0,3,96.43,0,0
C100119,0,14,49.4,2,3,95.57,0,0
C100120,0,44,81.3,1,0,73.03,0,0
C100121,0,41,59.8,2,4,101.14,0,0
C100122,0,9,87.3,0,4,47.17,0,0
C100123,0,62,76.1,0,3,84.77,0,0
C100124,0,30,44.9,1,0,31.76,1,1
C100125,0,31,59.2,2,4,49.89,0,0
C100126,0,29,43.1,1,2,95.5,0,1
C100127,0,48,42.9,2,1,60.03,0,0
C100128,0,24,44.6,4,1,73.47,0,0
C100129,0,11,60.5,0,2,74.59,0,0
C100130,0,4,73.0,1,1,60.52,0,0
C100131,0,18,57.0,0,3,67.0,0,1
C100132,0,37,52.9,0,3,42.43,0,0
C100133,0,25,35.3,2,2,118.68,0,1
C100134,0,31,51.1,1,1,109.37,1,0
C100135,0,23,72.1,1,1,54.11,0,0
C100136,0,50,64.9,2,1,95.47,1,0
C100137,0,26,49.6,3,2,103.94,0,1
C100138,0,26,26.8,2,0,82.06,0,1
C100139,0,39,55.6,0,2,82.09,0,0
C100140,0,37,49.7,0,2,36.11,0,0
C100141,0,45,59.8,0,0,21.85,0,0
C100142,0,47,68.2,1,1,87.31,0,0
C100143,0,27,48.2,0,3,79.73,1,0
C100144,0,52,36.1,1,3,119.53,0,0
C100145,0,12,30.4,1,1,85.24,0,0
C100146,0,36,42.2,0,2,79.67,0,0
C100147,0,28,41.9,2,1,38.12,0,1
C100148,0,14,73.3,2,2,61.75,1,0
C100149,0,23,50.3,1,2,93.8,0,1
C100150,0,18,87.5,0,1,55.0,0,0
C100151,0,55,52.5,2,0,71.12,0,0
C100152,0,62,22.1,1,0,103.43,0,0
C100153,0,7,73.4,0,0,73.54,0,1
C100154,0,58,66.0,3,1,67.37,0,0
C100155,0,46,75.8,0,3,89.61,0,0
C100156,0,22,60.9,3,1,115.54,0,0
C100157,0,5,59.8,2,0,43.11,0,0
C100158,0,32,48.6,1,2,73.61,0,0
C100159,0,17,45.7,1,2,107.39,0,0
C100160,0,38,1.0,2,1,62.01,0,1
C100161,0,33,41.3,1,1,84.81,0,1
C100162,0,41,95.4,2,2,90.21,0,0
C100163,0,18,73.9,2,1,48.7,0,0
C100164,0,41,42.5,0,3,56.64,0,0
C100165,0,63,78.7,2,0,82.3,0,0
C100166,0,0,47.9,2,2,103.47,0,1
C100167,0,0,56.6,2,2,52.71,0,1
C100168,0,52,59.4,2,0,76.89,0,0
C100169,0,25,68.6,1,1,99.25,0,0
C100170,0,60,52.2,1,1,75.03,0,0
C100171,0,30,56.3,2,0,84.04,0,0
C100172,0,0,58.6,2,2,44.83,0,0
C100173,0,0,47.0,1,0,62.13,0,1
C100174,0,17,62.9,0,1,87.99,1,0
C100175,0,53,26.1,2,1,63.52,0,1
C100176,0,31,33.0,0,0,70.21,0,1
C100177,0,22,56.4,0,4,83.42,0,0
C100178,0,72,43.5,3,1,59.54,1,1
C100179,0,41,44.4,2,3,80.45,0,0
C100180,0,45,88.1,0,2,45.69,0,0
C100181,0,32,25.4,1,3,80.69,0,1
C100182,0,68,18.6,3,1,76.99,0,1
C100183,0,35,29.7,2,0,75.84,0,1
C100184,0,38,44.1,1,2,65.05,0,1
C100185,0,33,49.6,1,1,87.12,0,0
C100186,0,23,62.7,1,3,40.37,1,0
C100187,0,47,34.3,0,0,50.35,0,0
C100188,0,16,38.5,0,1,73.21,0,1
C100189,0,39,62.1,2,3,75.18,0,0
C100190,0,18,65.4,1,0,59.9,0,0
C100191,0,1,45.6,0,1,47.31,0,0
C100192,0,12,41.2,1,1,117.43,0,0
C100193,0,9,62.7,0,1,103.36,0,0
C100194,0,42,41.4,0,3,89.4,0,0
C100195,0,0,36.7,1,3,74.62,0,0
C100196,0,6,58.5,0,4,37.75,0,0
C100197,0,46,40.6,1,1,87.13,0,0
C100198,0,50,38.8,1,1,73.54,0,0
C100199,0,39,50.4,3,2,63.53,1,1
C100200,0,50,27.5,1,0,70.31,0,0
C100201,0,19,64.7,2,1,110.28,0,0
C100202,0,18,96.5,0,3,50.78,0,0
C100203,0,21,68.0,3,1,66.11,0,0
C100204,0,32,51.2,0,1,61.27,1,0
C100205,0,2,65.5,1,2,42.87,0,1
C100206,0,36,57.7,0,1,49.67,0,0
C100207,0,63,49.0,0,3,66.54,0,0
C100208,0,11,79.9,1,0,69.56,0,0
C100209,0,48,65.8,2,3,66.78,0,0
C100210,0,55,63.9,0,2,100.87,0,0
C100211,0,6,91.4,0,4,112.11,0,0
C100212,0,49,4.0,3,2,52.02,0,1
C100213,0,42,84.5,2,1,31.4,0,0
C100214,0,26,18.7,1,1,53.05,0,1
C100215,0,42,32.7,1,0,28.74,0,0
C100216,0,30,48.6,0,0,65.02,0,0
C100217,0,37,65.0,0,2,73.12,0,0
C100218,0,49,42.5,1,4,77.23,0,0
C100219,0,19,68.3,0,3,40.55,0,0
C100220,0,42,64.2,2,0,54.4,0,0
C100221,0,38,42.0,1,2,68.56,0,0
C100222,0,56,51.7,2,2,132.69,0,0
C100223,0,8,74.4,0,2,43.78,0,0
C100224,0,11,5.0,1,3,80.98,1,1
C100225,0,15,60.9,3,1,50.47,0,0
C100226,0,34,74.7,1,0,67.37,0,0
C100227,0,46,30.1,3,0,49.42,0,0
C100228,0,11,70.5,1,3,73.54,0,0
C100229,0,27,60.3,0,4,49.46,0,0
C100230,0,56,48.6,0,1,70.78,1,0
C100231,0,44,36.8,2,2,65.31,0,0
C100232,0,23,53.2,3,2,116.64,1,0
C100233,0,1,40.8,2,2,80.59,0,0
C100234,0,25,53.5,0,0,116.19,0,0
C100235,0,21,33.2,0,2,85.82,0,1
C100236,0,35,82.0,1,1,23.95,1,0
C100237,0,57,60.0,0,0,100.65,0,0
C100238,0,21,74.8,2,3,62.05,0,0
C100239,0,11,90.8,3,1,54.73,0,0
C100240,0,46,62.3,1,1,86.66,0,0
C100241,0,44,91.1,1,2,66.08,0,0
C100242,0,63,55.9,0,1,41.16,0,1
C100243,0,27,63.3,1,1,42.15,0,0
C100244,0,42,43.6,3,3,50.66,0,0
C100245,0,6,64.9,3,0,56.39,0,1
C100246,0,72,25.8,0,3,52.06,0,1
C100247,0,5,55.8,1,3,86.67,0,1
C100248,0,24,62.8,1,0,22.95,0,0
C100249,0,3,48.4,2,0,50.49,1,1
C100250,0,3,42.5,0,3,46.2,0,0
C100251,0,5,72.4,2,2,48.22,0,0
C100252,0,37,32.3,2,3,58.69,0,0
C100253,0,17,65.4,0,0,48.94,0,0
C100254,0,36,54.6,4,2,79.88,0,0
C100255,0,22,69.2,1,2,96.87,0,0
C100256,0,28,58.7,1,1,41.45,0,0
C100257,0,12,59.2,0,2,36.11,0,0
C100258,0,3,87.9,1,3,29.39,0,0
C100259,0,28,39.4,0,2,46.36,0,0
C100260,0,49,80.4,2,3,82.82,0,0
C100261,0,0,36.9,0,0,38.71,1,0
C100262,0,0,37.4,1,3,57.39,0,0
C100263,0,51,52.8,2,1,54.84,0,0
C100264,0,47,29.6,1,1,85.57,0,1
C100265,0,38,57.2,1,1,71.99,0,0
C100266,0,7,44.3,2,2,83.07,0,1
C100267,0,24,55.5,1,2,73.73,0,0
C100268,0,31,31.4,1,2,63.57,0,0
C100269,0,45,58.1,0,1,83.77,0,0
C100270,0,41,57.7,1,2,56.32,1,0
C100271,0,0,47.1,4,1,107.98,1,1
C100272,0,1,21.6,3,1,55.04,0,1
C100273,0,23,62.8,2,0,79.37,0,0
C100274,0,21,93.1,1,3,65.17,0,0
C100275,0,46,42.4,1,1,52.95,0,0
C100276,0,52,64.9,1,0,50.07,1,0
C100277,0,39,44.3,1,2,75.69,1,0
C100278,0,0,75.6,0,3,51.37,0,1
C100279,0,17,6.7,1,1,58.55,0,0
C100280,0,27,46.1,2,0,44.27,0,0
C100281,0,9,23.6,2,3,30.8,0,1
C100282,0,31,39.2,1,4,77.06,0,1
C100283,0,11,31.1,0,2,45.88,1,1
C100284,0,32,33.6,1,4,28.1,1,1
C100285,0,43,68.4,1,1,75.01,0,1
C100286,0,12,50.3,1,3,72.55,0,0
C100287,0,43,57.6,0,1,81.75,0,0
C100288,0,0,27.8,0,1,47.49,0,1
C100289,0,6,74.6,1,1,85.81,0,0
C100290,0,53,40.0,1,2,72.24,0,0
C100291,0,22,42.0,0,0,97.87,0,0
C100292,0,16,35.7,3,1,75.17,0,1
C100293,0,13,62.5,2,2,49.71,0,0
C100294,0,33,69.3,0,2,50.55,0,0
C100295,0,38,59.0,1,2,78.37,0,0
C100296,0,5,45.3,0,1,83.63,0,0
C100297,0,39,57.4,1,1,50.11,0,0
C100298,0,48,49.4,0,2,66.52,0,0
C100299,0,28,62.8,0,0,96.96,0,0
C100300,0,48,65.4,0,2,50.33,0,0
C100301,0,16,70.0,1,3,99.04,0,1
C100302,0,11,61.0,1,1,56.17,0,0
C100303,0,9,60.9,3,0,62.05,0,0
C100304,0,53,51.9,3,1,36.25,0,0
C100305,0,9,44.4,1,0,66.08,1,1
C100306,0,45,50.0,3,3,76.99,0,0
C100307,0,39,73.0,2,1,57.88,0,0
C100308,0,14,70.2,1,1,92.21,0,0
C100309,0,32,31.5,0,1,102.75,1,0
C100310,0,72,62.3,1,3,91.8,0,0
C100311,0,0,61.4,0,0,33.55,0,1
C100312,0,71,41.7,1,2,59.66,0,0
C100313,0,6,70.4,0,1,62.27,0,0
C100314,0,4,65.5,0,2,79.99,0,0
C100315,0,43,62.4,0,2,58.13,0,0
C100316,0,51,84.6,1,0,58.03,0,0
C100317,0,64,52.2,0,1,87.16,0,0
C100318,0,36,77.5,0,2,55.53,0,0
C100319,0,40,35.3,0,3,64.83,0,1
C100320,0,45,25.6,0,1,67.84,1,1
C100321,0,22,81.2,0,2,91.91,0,0
C100322,0,62,49.2,1,0,92.11,0,1
C100323,0,29,49.3,0,2,83.57,0,0
C100324,0,26,50.1,1,1,59.11,0,0
C100325,0,41,61.8,1,1,59.95,1,0
C100326,0,22,100.5,1,2,81.37,0,0
C100327,0,39,35.6,3,1,73.54,0,1
C100328,0,45,82.6,1,0,72.9,0,0
C100329,0,37,63.9,3,2,45.2,0,0
C100330,0,9,64.8,0,3,72.57,1,1
C100331,0,47,84.4,2,0,49.39,1,0
C100332,0,13,67.6,0,0,89.04,0,1
C100333,0,51,41.1,0,3,73.75,0,0
C100334,0,57,45.1,0,3,66.86,0,0
C100335,0,41,50.3,1,3,55.92,0,1
C100336,0,36,67.6,0,3,60.46,0,0
C100337,0,33,40.5,1,2,74.05,0,0
C100338,0,13,61.5,1,4,72.89,0,0
C100339,0,17,40.5,2,2,56.84,0,0
C100340,0,39,55.7,0,4,20.0,1,0
C100341,0,32,43.2,2,0,52.92,0,0
C100342,0,27,64.0,1,0,58.11,1,0
C100343,0,24,56.2,0,1,77.38,0,0
C100344,0,0,40.2,0,1,38.02,0,0
C100345,0,19,51.6,1,0,71.06,0,0
C100346,0,5,77.6,2,2,73.19,0,1
C100347,0,29,84.2,0,0,78.99,0,0
C100348,0,38,47.0,2,2,37.86,0,0
C100349,0,63,51.2,1,1,72.77,0,0
C100350,0,39,46.7,2,0,60.39,0,0
C100351,0,28,,1,2,96.0,0,0
C100352,0,45,68.1,1,1,76.69,0,0
C100353,0,16,69.2,0,2,58.24,1,0
C100354,0,46,48.1,2,1,114.79,0,0
C100355,0,18,52.2,0,0,50.98,0,0
C100356,0,55,61.0,0,2,90.31,0,0
C100357,0,43,43.3,0,0,65.01,0,0
C100358,0,30,58.7,3,2,82.08,0,0
C100359,0,12,51.3,2,1,69.5,0,0
C100360,0,0,64.7,0,1,72.16,0,0
C100361,0,21,86.5,2,2,75.17,0,0
C100362,0,32,34.5,2,2,66.91,0,0
C100363,0,2,71.6,1,3,20.0,0,0
C100364,0,32,85.3,1,0,103.07,0,0
C100365,0,45,65.8,1,1,49.32,0,0
C100366,0,65,67.1,0,3,94.89,0,0
C100367,0,3,60.3,0,3,93.26,0,1
C100368,0,25,83.8,1,2,87.64,0,0
C100369,0,38,63.0,0,4,60.99,0,0
C100370,0,69,65.6,2,1,65.85,0,0
C100371,0,49,33.6,0,0,48.05,0,0
C100372,0,55,48.3,0,3,84.59,0,0
C100373,0,51,69.4,5,0,57.44,0,0
C100374,0,7,39.4,1,2,56.07,0,1
C100375,0,36,67.8,0,2,20.0,0,0
C100376,0,33,44.6,2,3,107.11,0,1
C100377,0,14,76.7,0,1,45.76,0,0
C100378,0,40,71.2,1,1,82.76,0,0
C100379,0,36,64.5,2,2,59.41,0,0
C100380,0,72,40.8,1,1,51.69,0,1
C100381,0,32,72.6,1,1,29.77,0,0
C100382,0,16,53.8,0,2,72.76,0,0
C100383,0,23,73.0,0,0,21.26,0,0
C100384,0,57,96.4,0,2,73.9,0,0
C100385,0,66,72.2,0,2,104.07,0,0
C100386,0,51,69.5,1,0,46.43,0,1
C100387,0,36,46.7,1,0,49.32,0,0
C100388,0,16,89.7,0,1,100.33,0,0
C100389,0,16,27.4,2,1,51.36,0,1
C100390,0,38,49.5,1,2,65.95,0,0
C100391,0,24,29.3,0,1,61.05,0,1
C100392,0,63,61.6,3,2,89.18,0,0
C100393,0,13,93.7,0,0,82.45,0,0
C100394,0,26,25.7,1,2,56.0,0,1
C100395,0,46,51.8,2,2,84.26,0,0
C100396,0,24,45.9,0,1,61.08,0,0
C100397,0,3,28.8,1,2,74.13,1,0
C100398,0,32,82.7,0,1,62.83,0,1
C100399,0,45,37.6,4,2,77.9,0,1
C100400,0,21,9.6,3,2,90.04,0,1
C100401,0,11,36.0,0,1,64.45,0,1
C100402,0,24,57.6,0,2,68.74,0,0
C100403,0,14,70.6,0,2,54.08,1,0
C100404,0,52,53.4,0,3,65.21,1,1
C100405,0,31,44.5,2,0,46.47,0,0
C100406,0,35,51.4,5,5,62.93,0,0
C100407,0,41,29.6,1,2,81.46,0,0
C100408,0,26,61.7,1,2,51.61,0,0
C100409,0,26,70.7,3,3,68.45,0,0
C100410,0,6,60.6,1,3,69.58,0,0
C100411,0,0,54.3,2,2,90.8,0,0
C100412,0,13,70.7,2,0,80.52,1,1
C100413,0,18,60.0,0,2,95.97,0,0
C100414,0,9,76.1,1,0,65.93,0,0
C100415,0,22,29.4,0,2,71.33,0,1
C100416,0,1,73.5,1,1,51.06,0,0
C100417,0,25,51.7,1,1,31.16,0,0
C100418,0,51,57.8,0,3,82.63,0,0
C100419,0,7,42.7,1,1,48.73,0,1
C100420,0,57,29.4,0,2,84.8,0,0
C100421,0,25,49.0,3,0,61.32,0,1
C100422,0,29,42.7,3,1,85.73,0,1
C100423,0,19,63.4,1,2,79.92,0,0
C100424,0,46,44.7,1,1,66.45,0,0
C100425,0,6,51.7,0,1,92.01,0,0
C100426,0,10,47.2,1,3,61.94,0,1
C100427,0,32,68.6,3,2,74.07,0,0
C100428,0,9,57.0,1,1,76.23,1,0
C100429,0,0,72.9,2,1,41.87,0,0
C100430,0,0,24.8,0,0,61.55,0,0
C100431,0,44,59.7,2,0,60.08,0,1
C100432,0,16,22.1,2,1,64.13,0,0
C100433,0,72,63.8,0,1,80.04,0,0
C100434,0,15,20.6,0,1,49.86,0,0
C100435,0,14,86.1,2,4,65.07,0,0
C100436,0,8,41.9,0,3,113.22,0,1
C100437,0,24,59.4,0,1,66.73,0,0
C100438,0,24,62.9,1,0,66.07,0,0
C100439,0,25,80.0,1,4,20.03,0,0
C100440,0,18,57.4,2,3,61.95,0,0
C100441,0,0,80.9,1,2,49.28,0,0
C100442,0,29,33.3,4,1,82.68,0,1
C100443,0,31,57.5,1,3,56.97,0,0
C100444,0,41,44.7,0,0,78.05,0,1
C100445,0,31,27.2,1,1,85.7,0,1
C100446,0,0,29.8,0,2,80.11,0,1
C100447,0,46,24.9,0,1,74.73,0,1
C100448,0,16,40.2,1,0,82.43,0,0
C100449,0,25,58.3,2,2,66.59,0,0
C100450,0,36,59.2,0,2,80.98,1,1
C100451,0,24,38.6,2,2,106.11,0,0
C100452,0,40,62.6,0,3,62.6,1,0
C100453,0,0,24.8,1,0,81.13,0,1
C100454,0,43,55.9,1,2,84.68,0,0
C100455,0,38,48.6,1,2,72.46,0,0
C100456,0,25,43.9,0,1,60.67,0,0
C100457,0,18,50.8,3,3,107.1,0,0
C100458,0,29,46.5,2,1,85.62,0,0
C100459,0,0,51.4,3,4,78.91,0,0
C100460,0,51,49.2,1,1,102.62,0,0
C100461,0,42,51.5,0,2,96.6,0,0
C100462,0,23,60.5,0,0,100.43,1,0
C100463,0,31,68.6,0,2,66.49,0,0
C100464,0,20,46.8,2,3,57.17,0,1
C100465,0,26,66.8,1,0,58.67,0,0
C100466,0,23,62.1,1,2,70.79,0,0
C100467,0,24,49.8,2,3,83.8,0,0
C100468,0,24,58.0,0,0,74.77,1,0
C100469,0,33,60.9,3,2,59.55,0,0
C100470,0,32,42.6,0,0,77.35,1,0
C100471,0,50,62.1,1,2,99.18,0,0
C100472,0,30,50.6,1,0,51.07,0,1
C100473,0,56,49.2,0,0,72.07,0,0
C100474,0,25,59.4,1,1,80.03,0,0
C100475,0,39,36.1,0,0,76.1,0,0
C100476,0,33,76.6,0,2,92.93,0,0
C100477,0,31,61.4,2,1,94.06,1,0
C100478,0,15,73.5,1,2,90.19,0,0
C100479,0,41,70.8,1,2,79.73,0,0
C100480,0,50,84.4,1,2,98.68,1,0
C100481,0,23,81.1,0,0,69.21,0,0
C100482,0,38,83.0,2,3,45.59,0,0
C100483,0,31,90.1,1,2,47.53,0,0
C100484,0,43,31.1,2,1,34.55,0,1
C100485,0,23,52.7,0,1,44.9,0,0
C100486,0,20,41.8,2,1,86.52,0,0
C100487,0,44,36.8,3,1,89.66,0,1
C100488,0,38,63.0,0,1,43.17,0,0
C100489,0,35,73.9,1,0,44.32,1,0
C100490,0,4,75.8,1,0,82.8,0,0
C100491,0,5,60.3,1,2,79.8,0,0
C100492,0,43,58.2,4,0,91.85,0,0
C100493,0,41,56.8,1,0,99.75,0,0
C100494,0,0,67.7,1,0,82.62,0,0
C100495,0,21,43.4,0,3,71.28,0,0
C100496,0,25,58.9,1,2,65.74,0,1
C100497,0,12,42.6,0,1,93.89,0,1
C100498,0,27,52.5,0,2,81.16,0,0
C100499,0,22,13.3,2,6,43.96,0,1
C100500,0,7,29.7,2,0,87.08,0,0
C100501,0,42,58.4,1,0,133.52,0,0
C100502,0,6,50.2,1,2,85.58,0,0
C100503,0,59,72.5,0,1,100.86,0,0
C100504,0,10,45.6,1,5,106.82,0,0
C100505,0,9,49.0,2,3,95.03,1,1
C100506,0,5,61.9,0,1,59.11,0,0
C100507,0,33,30.8,1,1,77.09,0,0
C100508,0,17,17.2,2,3,69.49,0,0
C100509,0,31,65.8,1,1,71.44,0,1
C100510,0,9,35.6,0,1,55.02,0,1
C100511,0,23,44.5,2,3,72.71,0,0
C100512,0,33,77.8,2,1,77.09,0,0
C100513,0,36,35.4,2,1,48.84,0,0
C100514,0,34,56.7,3,0,113.01,0,1
C100515,0,51,35.4,1,1,85.28,1,1
C100516,0,45,76.1,1,4,90.16,0,0
C100517,0,9,35.6,5,4,48.64,0,1
C100518,0,7,3.6,0,1,71.43,0,1
C100519,0,39,26.0,1,3,78.91,0,0
C100520,0,13,61.1,2,3,76.75,0,0
C100521,0,20,40.4,1,2,116.29,0,0
C100522,0,7,68.7,2,0,62.19,1,0
C100523,0,37,95.7,2,2,47.29,0,0
C100524,0,47,62.9,0,4,92.64,0,0
C100525,0,48,50.9,0,1,66.21,0,0
C100526,0,26,86.1,2,4,82.43,0,0
C100527,0,64,61.5,0,0,118.0,0,0
C100528,0,55,63.3,2,2,68.31,0,1
C100529,0,7,59.2,0,1,22.86,0,0
C100530,0,71,71.1,4,3,51.38,0,0
C100531,0,29,18.3,2,2,74.36,1,1
C100532,0,33,63.7,0,2,95.15,0,0
C100533,0,40,64.9,2,4,92.96,0,0
C100534,0,35,62.6,1,2,84.94,0,0
C100535,0,60,38.7,0,1,95.98,0,0
C100536,0,21,70.8,1,0,48.1,0,0
C100537,0,46,21.6,1,1,44.28,0,0
C100538,0,27,65.3,3,5,87.8,0,0
C100539,0,25,58.6,0,1,77.13,0,0
C100540,0,36,84.7,2,2,56.56,0,0
C100541,0,9,52.3,1,2,48.74,0,0
C100542,0,4,20.4,3,3,60.47,0,1
C100543,0,23,47.7,2,0,75.92,0,0
C100544,0,14,54.8,0,0,77.68,0,0
C100545,0,20,32.8,0,2,118.2,0,1
C100546,0,31,77.0,1,1,80.39,0,0
C100547,0,0,3.9,1,4,61.86,0,1
C100548,0,13,74.6,2,1,59.26,0,0
C100549,0,41,66.3,2,1,86.14,0,1
C100550,0,44,43.6,4,1,99.99,0,1
C100551,0,29,94.4,1,0,73.4,0,0
C100552,0,1,51.5,0,3,49.53,0,0
C100553,0,17,37.3,3,1,73.21,0,1
C100554,0,40,43.3,3,2,65.35,0,0
C100555,0,33,60.4,2,1,92.31,0,1
C100556,0,46,66.9,3,2,74.43,0,0
C100557,0,51,64.8,1,1,59.85,0,0
C100558,0,18,59.2,1,1,77.66,0,0
C100559,0,14,46.8,2,2,103.97,0,1
C100560,0,49,49.6,1,0,44.28,0,1
C100561,0,26,52.9,1,0,65.81,0,0
C100562,0,53,73.8,1,3,28.09,0,0
C100563,0,22,14.1,0,2,94.06,1,1
C100564,0,52,81.5,1,2,58.49,0,0
C100565,0,12,56.6,0,0,76.15,0,0
C100566,0,29,57.3,0,0,70.18,0,0
C100567,0,43,65.3,2,3,59.49,1,0
C100568,0,48,53.4,0,1,59.66,0,0
C100569,0,10,87.9,0,0,78.16,0,1
C100570,0,33,92.2,5,1,88.56,0,0
C100571,0,60,69.1,1,2,34.02,0,0
C100572,0,10,36.8,2,1,70.32,0,1
C100573,0,35,36.5,0,3,101.85,0,0
C100574,0,23,45.7,0,2,76.06,0,0
C100575,0,29,61.1,0,2,74.51,0,0
C100576,0,31,78.6,1,5,102.48,0,0
C100577,0,35,43.6,0,2,73.51,0,0
C100578,0,17,55.7,2,0,66.22,0,0
